Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
27.866667,17.114775,82.0,8.0,27.866666666666667,25.00625,14.105627,99.0,9.0,25.00625,-0.004252737388014793,4001,0.3477518558502197,25.00625,0
35.25,15.481844,77.0,21.0,35.25,33.16529,19.281023,102.0,10.0,33.16528925619835,-0.006997914519160986,8014,0.946173906326294,,1
41.5,13.44061,70.0,29.0,41.5,43.510868,23.034706,123.0,12.0,43.51086956521739,-0.009929616935551167,12017,1.2838337421417236,,2
89.4,48.541115,161.0,26.0,89.4,51.0125,24.019522,121.0,12.0,51.0125,-0.0094655966386199,16098,1.6193621158599854,,3
78.5,18.848078,108.0,46.0,78.5,57.3,29.948692,174.0,14.0,57.3,-0.00416781147941947,20109,1.9553778171539307,,4
64.14286,24.0798,107.0,34.0,64.14285714285714,66.71667,27.725494,152.0,25.0,66.71666666666667,-0.0001709349890006706,24112,2.3065688610076904,,5
79.5,16.570557,101.0,55.0,79.5,80.98,31.557877,165.0,27.0,80.98,-0.007872023619711399,28161,2.6520049571990967,,6
85.2,36.994053,152.0,53.0,85.2,73.2,29.390413,152.0,22.0,73.2,-0.0024624562356621027,32187,2.9909889698028564,,7
111.0,36.448593,173.0,82.0,111.0,89.22222,34.501457,174.0,38.0,89.22222222222223,-0.00468095950782299,36202,3.3191590309143066,,8
104.5,43.04939,154.0,47.0,104.5,101.125,40.61846,196.0,41.0,101.125,-0.0036525046452879906,40247,3.6439170837402344,,9
140.66667,44.454723,200.0,93.0,140.66666666666666,124.90909,32.42835,200.0,67.0,124.9090909090909,-0.00455889105796814,44369,3.97894287109375,,10
167.66667,15.456031,181.0,146.0,167.66666666666666,137.2,35.837967,200.0,81.0,137.2,0.00486409105360508,48485,4.315999984741211,,11
200.0,0.0,200.0,200.0,200.0,144.32143,38.838543,200.0,82.0,144.32142857142858,-0.001170096336863935,52526,4.641540050506592,,12
148.0,37.66519,200.0,112.0,148.0,170.91667,38.020737,200.0,60.0,170.91666666666666,-0.010877725668251514,56628,4.9841320514678955,,13
182.0,25.455845,200.0,146.0,182.0,170.20833,30.549112,200.0,108.0,170.20833333333334,-0.016639260575175285,60713,5.332494735717773,,14
193.33333,9.428091,200.0,180.0,193.33333333333334,174.26086,31.58318,200.0,91.0,174.2608695652174,-0.014152557589113712,64721,5.672348976135254,,15
