Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
27.733334,19.18147,94.0,14.0,27.733333333333334,23.952095,12.806159,105.0,9.0,23.952095808383234,-0.004262678325176239,4000,0.3510122299194336,23.952095,0
53.7,36.13876,149.0,16.0,53.7,29.452555,16.399204,89.0,9.0,29.452554744525546,-0.010561400093138218,8035,0.9442131519317627,,1
41.9,15.636176,74.0,20.0,41.9,43.365593,18.98714,94.0,14.0,43.365591397849464,-0.011752568185329437,12068,1.2909860610961914,,2
51.5,18.076227,72.0,21.0,51.5,51.615383,28.12118,200.0,13.0,51.61538461538461,-0.005156033206731081,16094,1.6269381046295166,,3
71.833336,42.651367,151.0,33.0,71.83333333333333,63.125,31.180674,167.0,12.0,63.125,-0.0030641858465969563,20134,1.9665980339050293,,4
75.666664,24.722908,124.0,45.0,75.66666666666667,69.034485,33.256042,164.0,24.0,69.03448275862068,-0.004019397310912609,24138,2.3130691051483154,,5
113.75,52.451763,200.0,59.0,113.75,82.0,35.487854,185.0,19.0,82.0,-0.011623242869973183,28156,2.646245241165161,,6
85.4,27.133743,119.0,59.0,85.4,83.666664,30.106293,174.0,24.0,83.66666666666667,-0.007366054225713015,32172,2.9824490547180176,,7
134.75,17.83781,150.0,105.0,134.75,102.666664,35.83748,200.0,48.0,102.66666666666667,-0.0070456042885780334,36176,3.31204891204834,,8
152.33333,10.338709,166.0,141.0,152.33333333333334,123.63636,43.599987,200.0,48.0,123.63636363636364,-0.004480273462831974,40256,3.6472151279449463,,9
137.66667,27.207024,168.0,102.0,137.66666666666666,140.86208,39.195114,200.0,53.0,140.86206896551724,-0.013082033954560757,44341,3.976030111312866,,10
170.33333,39.160637,200.0,115.0,170.33333333333334,166.72,33.586334,200.0,67.0,166.72,-0.00585207249969244,48509,4.317928075790405,,11
183.0,12.027746,200.0,174.0,183.0,158.46153,36.737354,200.0,51.0,158.46153846153845,-0.014172960072755814,52629,4.655488014221191,,12
200.0,0.0,200.0,200.0,200.0,177.52174,27.657642,200.0,111.0,177.52173913043478,-0.007773633114993572,56712,4.984645128250122,,13
175.0,35.35534,200.0,125.0,175.0,182.0,28.849136,200.0,124.0,182.0,-0.00034016973222605884,60716,5.319299221038818,,14
200.0,0.0,200.0,200.0,200.0,186.95454,23.464628,200.0,123.0,186.95454545454547,-0.007453081663697958,64829,5.662545919418335,,15
170.0,42.426407,200.0,110.0,170.0,183.36363,30.69283,200.0,103.0,183.36363636363637,-0.01443145889788866,68863,6.009247064590454,,16
197.66667,3.2998316,200.0,193.0,197.66666666666666,191.04762,15.857928,200.0,144.0,191.04761904761904,-0.016983086243271828,72875,6.357467889785767,,17
200.0,0.0,200.0,200.0,200.0,195.80952,16.640795,200.0,122.0,195.8095238095238,-0.013841599225997925,76987,6.699315071105957,,18
200.0,0.0,200.0,200.0,200.0,198.95238,3.7222137,200.0,183.0,198.95238095238096,-0.0022730075288563967,81165,7.0375401973724365,,19
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.006051443051546812,85165,7.375272989273071,,20
200.0,0.0,200.0,200.0,200.0,196.57143,15.333035,200.0,128.0,196.57142857142858,0.0027992012910544872,89293,7.714665174484253,,21
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,0.005836243275552988,93293,8.047143936157227,,22
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.00201303674839437,97293,8.385141134262085,,23
200.0,0.0,200.0,200.0,200.0,193.61905,19.862566,200.0,124.0,193.61904761904762,-0.012477399781346321,101359,8.717509984970093,,24
187.0,18.384777,200.0,161.0,187.0,200.0,0.0,200.0,200.0,200.0,-0.016128482297062874,105359,9.05823016166687,,25
183.66667,17.461067,197.0,159.0,183.66666666666666,187.18182,23.638638,200.0,126.0,187.1818181818182,-0.017262233421206474,109477,9.401870250701904,,26
184.0,22.627417,200.0,152.0,184.0,171.75,27.129704,200.0,116.0,171.75,-0.023732203990221024,113599,9.74782109260559,,27
200.0,0.0,200.0,200.0,200.0,176.43478,19.564444,200.0,131.0,176.43478260869566,-0.0273891594260931,117657,10.082560062408447,,28
200.0,0.0,200.0,200.0,200.0,197.09525,10.0849,200.0,154.0,197.0952380952381,-0.021859876811504364,121796,10.423330068588257,,29
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.012182693928480148,125796,10.758908033370972,,30
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.013531572185456753,129796,11.090088129043579,,31
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.012212570756673813,133796,11.42030119895935,,32
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0025783104356378317,137796,11.752017974853516,,33
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.012989717535674572,141796,12.091273069381714,,34
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.007777136284857988,145796,12.422815084457397,,35
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.008697944693267345,149796,12.755904197692871,,36
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.005040577147156,153796,13.088972091674805,,37
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.023745890706777573,157796,13.417372941970825,,38
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.01949460618197918,161796,13.742955207824707,,39
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,0.000435189955169335,165796,14.076655149459839,,40
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.009124856442213058,169796,14.406576156616211,,41
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.014428777620196342,173796,14.736715078353882,,42
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0019183411495760083,177796,15.063546180725098,,43
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-7.356643618550152e-05,181796,15.391095161437988,,44
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,0.003189960727468133,185796,15.7170729637146,,45
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.014169818721711636,189796,16.047016143798828,,46
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0023009413853287697,193796,16.375832080841064,,47
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0017664680490270257,197796,16.70905303955078,,48
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,0.005764400586485863,201796,17.045818328857422,,49
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.003822186030447483,205796,17.37866187095642,,50
