Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
34.846153,23.744947,91.0,13.0,34.84615384615385,24.248486,13.137227,85.0,9.0,24.24848484848485,11.125482559204102,4001,0.3517487049102783,24.248486,0
44.7,28.067951,108.0,13.0,44.7,33.7563,17.52116,108.0,10.0,33.7563025210084,14.477405548095703,8018,0.9424209594726562,,1
63.142857,27.35705,119.0,27.0,63.142857142857146,43.064518,21.312223,118.0,12.0,43.064516129032256,17.449687957763672,12023,1.2752680778503418,,2
57.714287,22.365242,88.0,26.0,57.714285714285715,54.22973,24.201042,117.0,16.0,54.229729729729726,20.38675880432129,16036,1.6004369258880615,,3
112.25,58.061928,200.0,38.0,112.25,58.15942,26.473734,137.0,15.0,58.15942028985507,21.352596282958984,20049,1.9306209087371826,,4
101.6,55.34835,200.0,46.0,101.6,74.81481,33.297245,188.0,16.0,74.81481481481481,26.599897384643555,24089,2.2690811157226562,,5
139.0,30.73543,172.0,98.0,139.0,85.12766,37.824688,200.0,37.0,85.12765957446808,29.412710189819336,28090,2.597385883331299,,6
89.0,24.03331,125.0,55.0,89.0,85.40426,41.2061,200.0,29.0,85.40425531914893,29.75801658630371,32104,2.930269956588745,,7
118.75,58.71701,200.0,46.0,118.75,106.92105,39.965366,196.0,38.0,106.92105263157895,33.88675308227539,36167,3.2630789279937744,,8
137.66667,13.960261,149.0,118.0,137.66666666666666,138.0,40.701607,200.0,64.0,138.0,40.78892135620117,40169,3.5951290130615234,,9
159.66667,23.21398,183.0,128.0,159.66666666666666,153.2963,41.393158,200.0,53.0,153.2962962962963,43.764652252197266,44308,3.9357759952545166,,10
123.5,47.636646,190.0,56.0,123.5,141.41379,43.228756,200.0,34.0,141.41379310344828,40.80314254760742,48409,4.28220009803772,,11
