Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
28.066668,16.384817,65.0,10.0,28.066666666666666,24.753086,13.748204,73.0,9.0,24.753086419753085,22.330509185791016,4010,0.3563508987426758,24.753086,0
41.545456,21.82727,78.0,11.0,41.54545454545455,29.688889,17.03046,94.0,9.0,29.68888888888889,26.39687728881836,8018,0.92523193359375,,1
40.2,23.007824,97.0,12.0,40.2,40.646465,26.560892,179.0,13.0,40.64646464646464,37.48919677734375,12042,1.2629320621490479,,2
69.666664,13.34999,96.0,57.0,69.66666666666667,52.376625,26.968012,147.0,14.0,52.37662337662338,41.58974838256836,16075,1.5953779220581055,,3
93.2,39.8216,145.0,35.0,93.2,59.308823,27.60715,148.0,18.0,59.30882352941177,43.9429817199707,20108,1.9307239055633545,,4
72.666664,21.052845,113.0,48.0,72.66666666666667,72.69643,34.094364,191.0,21.0,72.69642857142857,52.478057861328125,24179,2.261697769165039,,5
85.4,37.87664,143.0,43.0,85.4,78.43137,35.276085,200.0,24.0,78.43137254901961,54.74738693237305,28179,2.5879340171813965,,6
105.25,39.845795,154.0,43.0,105.25,82.28571,35.24665,191.0,20.0,82.28571428571429,55.28314971923828,32211,2.9183807373046875,,7
119.75,60.746914,200.0,51.0,119.75,81.62,38.47591,200.0,27.0,81.62,56.02088165283203,36292,3.260753870010376,,8
153.0,33.35666,200.0,126.0,153.0,98.560974,35.35744,200.0,54.0,98.5609756097561,61.950843811035156,40333,3.5990049839019775,,9
186.66667,18.856182,200.0,160.0,186.66666666666666,146.32143,44.572617,200.0,51.0,146.32142857142858,87.60309600830078,44430,3.950960874557495,,10
176.0,28.47221,200.0,136.0,176.0,155.11111,37.711708,200.0,48.0,155.11111111111111,89.110595703125,48618,4.306009769439697,,11
130.5,48.77243,200.0,66.0,130.5,149.7037,30.749664,200.0,99.0,149.7037037037037,84.24959564208984,52660,4.654624938964844,,12
137.66667,17.632042,158.0,115.0,137.66666666666666,150.77777,34.488144,200.0,78.0,150.77777777777777,84.8492660522461,56731,4.990592956542969,,13
118.25,25.703842,155.0,86.0,118.25,150.2963,29.120205,200.0,109.0,150.2962962962963,83.22954559326172,60789,5.339732885360718,,14
138.33333,47.00591,200.0,86.0,138.33333333333334,143.14285,39.68421,200.0,84.0,143.14285714285714,82.34046936035156,64797,5.665928840637207,,15
138.0,35.814335,188.0,106.0,138.0,156.0,40.58325,200.0,91.0,156.0,86.89183044433594,68853,5.997653007507324,,16
193.33333,9.428091,200.0,180.0,193.33333333333334,155.46153,40.310555,200.0,86.0,155.46153846153845,87.47376251220703,72895,6.333904981613159,,17
187.33333,9.285592,200.0,178.0,187.33333333333334,174.58333,29.498468,200.0,79.0,174.58333333333334,94.52670288085938,77085,6.6837849617004395,,18
178.33333,30.641293,200.0,135.0,178.33333333333334,182.86363,30.877022,200.0,76.0,182.86363636363637,98.18380737304688,81108,7.021054983139038,,19
200.0,0.0,200.0,200.0,200.0,185.5,24.743687,200.0,116.0,185.5,95.44414520263672,85189,7.3582117557525635,,20
193.66667,4.4969125,200.0,190.0,193.66666666666666,184.95454,25.81134,200.0,97.0,184.95454545454547,96.2430648803711,89258,7.70357084274292,,21
172.0,25.664503,200.0,138.0,172.0,184.13637,26.028473,200.0,109.0,184.13636363636363,95.0714340209961,93309,8.03645396232605,,22
191.66667,11.785113,200.0,175.0,191.66666666666666,190.45454,21.094439,200.0,126.0,190.45454545454547,95.5886459350586,97499,8.388636827468872,,23
171.0,36.85105,200.0,119.0,171.0,174.875,31.559881,200.0,117.0,174.875,89.17478942871094,101696,8.741599082946777,,24
181.33333,26.398653,200.0,144.0,181.33333333333334,188.13637,19.797373,200.0,128.0,188.13636363636363,92.61758422851562,105835,9.095942974090576,,25
170.0,7.25718,180.0,163.0,170.0,187.27272,23.193224,200.0,115.0,187.27272727272728,93.09774017333984,109955,9.446256875991821,,26
200.0,0.0,200.0,200.0,200.0,181.30435,30.9957,200.0,98.0,181.30434782608697,91.464599609375,114125,9.797079086303711,,27
200.0,0.0,200.0,200.0,200.0,190.63637,20.321384,200.0,124.0,190.63636363636363,92.50787353515625,118319,10.148698806762695,,28
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,95.18512725830078,122319,10.484036922454834,,29
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,97.12966918945312,126319,10.815014839172363,,30
200.0,0.0,200.0,200.0,200.0,193.61905,13.847731,200.0,155.0,193.61904761904762,93.33157348632812,130385,11.159047842025757,,31
200.0,0.0,200.0,200.0,200.0,196.0,13.856406,200.0,136.0,196.0,94.45063781738281,134501,11.499963998794556,,32
200.0,0.0,200.0,200.0,200.0,195.7619,15.922146,200.0,126.0,195.76190476190476,97.34968566894531,138612,11.835222005844116,,33
200.0,0.0,200.0,200.0,200.0,199.71428,1.2777529,200.0,194.0,199.71428571428572,99.82927703857422,142806,12.176084995269775,,34
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,100.76161193847656,146806,12.504780769348145,,35
200.0,0.0,200.0,200.0,200.0,194.7619,18.92568,200.0,113.0,194.76190476190476,103.0181655883789,150896,12.841522932052612,,36
200.0,0.0,200.0,200.0,200.0,195.90475,18.31446,200.0,114.0,195.9047619047619,104.89472198486328,155010,13.17148494720459,,37
200.0,0.0,200.0,200.0,200.0,190.68182,29.470146,200.0,96.0,190.6818181818182,105.44407653808594,159205,13.513773918151855,,38
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,109.7802963256836,163205,13.842720031738281,,39
175.66667,8.956686,188.0,167.0,175.66666666666666,190.04546,13.683026,200.0,159.0,190.04545454545453,106.2719955444336,167386,14.191288709640503,,40
171.33333,5.436502,179.0,167.0,171.33333333333334,150.96297,42.32194,194.0,33.0,150.96296296296296,91.62896728515625,171462,14.529420852661133,,41
127.25,55.589455,161.0,31.0,127.25,133.19354,52.074028,186.0,15.0,133.19354838709677,86.40702056884766,175591,14.886701822280884,,42
110.4,54.25348,166.0,44.0,110.4,124.90909,52.10442,184.0,23.0,124.9090909090909,82.75940704345703,179713,15.240492820739746,,43
162.66667,6.9442225,169.0,153.0,162.66666666666666,147.28572,37.88786,186.0,27.0,147.28571428571428,88.43556213378906,183837,15.591383695602417,,44
105.25,69.86549,191.0,32.0,105.25,142.03448,43.49989,197.0,27.0,142.0344827586207,86.37722778320312,187956,15.932631731033325,,45
194.33333,4.189935,200.0,190.0,194.33333333333334,148.88889,46.37395,200.0,24.0,148.88888888888889,90.17007446289062,191976,16.275326013565063,,46
194.0,5.8878407,200.0,186.0,194.0,174.41667,13.807959,197.0,141.0,174.41666666666666,97.19036865234375,196162,16.63710594177246,,47
200.0,0.0,200.0,200.0,200.0,183.09091,14.816788,200.0,149.0,183.0909090909091,100.8548583984375,200190,16.972673892974854,,48
200.0,0.0,200.0,200.0,200.0,195.80952,7.7066393,200.0,171.0,195.8095238095238,106.33869171142578,204302,17.309252977371216,,49
200.0,0.0,200.0,200.0,200.0,190.4762,37.57357,200.0,24.0,190.47619047619048,106.88945007324219,208302,17.638935804367065,,50
200.0,0.0,200.0,200.0,200.0,195.66667,19.379255,200.0,109.0,195.66666666666666,104.71214294433594,212411,17.975937843322754,,51
169.33333,43.369213,200.0,108.0,169.33333333333334,200.0,0.0,200.0,200.0,200.0,104.71138000488281,216411,18.312204837799072,,52
200.0,0.0,200.0,200.0,200.0,193.95238,20.610853,200.0,108.0,193.95238095238096,102.4287338256836,220484,18.653324127197266,,53
200.0,0.0,200.0,200.0,200.0,195.33333,18.754894,200.0,112.0,195.33333333333334,100.25306701660156,224586,18.99157404899597,,54
200.0,0.0,200.0,200.0,200.0,187.68182,31.259016,200.0,88.0,187.6818181818182,98.3749771118164,228715,19.328999996185303,,55
200.0,0.0,200.0,200.0,200.0,188.59091,31.54313,200.0,84.0,188.5909090909091,99.35514831542969,232864,19.672855854034424,,56
185.66667,20.270395,200.0,157.0,185.66666666666666,186.59091,25.631407,200.0,107.0,186.5909090909091,94.07076263427734,236969,20.02375292778015,,57
175.33333,34.883938,200.0,126.0,175.33333333333334,184.54546,27.309217,200.0,120.0,184.54545454545453,94.22715759277344,241029,20.369971990585327,,58
175.66667,34.41253,200.0,127.0,175.66666666666666,191.7619,15.080435,200.0,150.0,191.76190476190476,92.50456237792969,245056,20.704433917999268,,59
162.66667,17.307674,182.0,140.0,162.66666666666666,192.14285,14.855769,200.0,147.0,192.14285714285714,90.21990966796875,249091,21.045536041259766,,60
200.0,0.0,200.0,200.0,200.0,191.09525,17.126713,200.0,141.0,191.0952380952381,89.25675201416016,253104,21.376172065734863,,61
187.66667,9.177267,200.0,178.0,187.66666666666666,170.45833,33.52733,200.0,85.0,170.45833333333334,79.68928527832031,257195,21.719902992248535,,62
142.33333,40.941692,200.0,109.0,142.33333333333334,160.28,40.314285,200.0,96.0,160.28,76.1026611328125,261202,22.063386917114258,,63
133.66667,5.436502,141.0,128.0,133.66666666666666,160.46153,41.349575,200.0,85.0,160.46153846153845,74.50804901123047,265374,22.40601086616516,,64
165.66667,24.850664,200.0,142.0,165.66666666666666,166.66667,37.47962,200.0,87.0,166.66666666666666,75.60253143310547,269374,22.740078926086426,,65
129.75,9.337424,138.0,114.0,129.75,170.08333,31.670065,200.0,102.0,170.08333333333334,71.53856658935547,273456,23.08304476737976,,66
190.66667,13.1993265,200.0,172.0,190.66666666666666,160.44,34.574074,200.0,104.0,160.44,67.24197387695312,277467,23.425923824310303,,67
177.0,17.378147,200.0,158.0,177.0,168.45833,32.85318,200.0,111.0,168.45833333333334,68.190185546875,281510,23.768535137176514,,68
200.0,0.0,200.0,200.0,200.0,174.25,29.677784,200.0,111.0,174.25,69.2264175415039,285692,24.111370086669922,,69
200.0,0.0,200.0,200.0,200.0,173.95653,29.458117,200.0,107.0,173.95652173913044,67.89808654785156,289693,24.44068694114685,,70
195.33333,6.5996633,200.0,186.0,195.33333333333334,189.13637,14.912764,200.0,158.0,189.13636363636363,71.08706665039062,293854,24.789942979812622,,71
200.0,0.0,200.0,200.0,200.0,192.0,24.589972,200.0,101.0,192.0,71.78401184082031,297886,25.117929935455322,,72
200.0,0.0,200.0,200.0,200.0,196.95238,11.286217,200.0,147.0,196.95238095238096,70.23799133300781,302022,25.45547389984131,,73
172.33333,21.044926,200.0,149.0,172.33333333333334,198.85715,3.5089777,200.0,184.0,198.85714285714286,72.06609344482422,306198,25.810791969299316,,74
175.33333,34.883938,200.0,126.0,175.33333333333334,197.7619,4.689449,200.0,186.0,197.76190476190476,71.06938934326172,310351,26.17756485939026,,75
139.0,13.928389,157.0,119.0,139.0,185.09091,18.649664,200.0,142.0,185.0909090909091,63.61802291870117,314423,26.531265020370483,,76
182.33333,24.98444,200.0,147.0,182.33333333333334,184.45454,24.127932,200.0,121.0,184.45454545454547,66.04586791992188,318481,26.879477977752686,,77
153.33333,33.638603,200.0,122.0,153.33333333333334,184.45454,20.135286,200.0,140.0,184.45454545454547,67.17637634277344,322539,27.218594074249268,,78
200.0,0.0,200.0,200.0,200.0,177.39131,25.29777,200.0,126.0,177.3913043478261,64.54595184326172,326619,27.564315795898438,,79
200.0,0.0,200.0,200.0,200.0,193.19048,21.034252,200.0,124.0,193.1904761904762,66.0677719116211,330676,27.900758981704712,,80
200.0,0.0,200.0,200.0,200.0,194.90475,11.4472065,200.0,156.0,194.9047619047619,69.27496337890625,334769,28.234658002853394,,81
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,68.15128326416016,338769,28.571322917938232,,82
200.0,0.0,200.0,200.0,200.0,199.14285,3.8332598,200.0,182.0,199.14285714285714,68.05366516113281,342951,28.919557809829712,,83
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,68.12085723876953,346951,29.25230383872986,,84
