Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
32.384617,23.52262,84.0,9.0,32.38461538461539,24.47619,10.8720665,54.0,10.0,24.476190476190474,-0.004496181849390268,1028,0.1190028190612793,24.47619,0
40.7,13.461427,72.0,25.0,40.7,27.052631,16.388294,93.0,10.0,27.05263157894737,-0.009647282771766186,2056,0.4656789302825928,,1
37.46154,20.006212,91.0,11.0,37.46153846153846,43.565216,30.899313,170.0,16.0,43.56521739130435,-0.013001859188079834,3058,0.601679801940918,,2
56.22222,26.578094,121.0,22.0,56.22222222222222,45.68182,21.99253,108.0,19.0,45.68181818181818,-0.00674713309854269,4063,0.7307138442993164,,3
50.88889,17.835323,78.0,26.0,50.888888888888886,65.75,28.159145,121.0,30.0,65.75,-0.00019952574803028256,5115,0.8546459674835205,,4
50.375,20.192434,89.0,29.0,50.375,59.64706,27.827074,129.0,19.0,59.64705882352941,-0.022710638120770454,6129,0.97688889503479,,5
80.333336,33.159546,122.0,33.0,80.33333333333333,55.3,28.41144,124.0,22.0,55.3,-0.009449569508433342,7235,1.106645107269287,,6
61.142857,15.541911,83.0,37.0,61.142857142857146,65.6875,18.075254,107.0,38.0,65.6875,0.003443414345383644,8286,1.2271051406860352,,7
73.166664,32.65178,118.0,40.0,73.16666666666667,87.5,45.68643,200.0,29.0,87.5,-0.007655337918549776,9336,1.3486840724945068,,8
53.75,8.104782,66.0,40.0,53.75,59.72222,18.456572,97.0,36.0,59.72222222222222,-0.023158028721809387,10411,1.4710290431976318,,9
75.833336,7.903937,89.0,62.0,75.83333333333333,87.083336,26.062292,123.0,52.0,87.08333333333333,0.005428752396255732,11456,1.5944018363952637,,10
74.166664,23.13307,113.0,42.0,74.16666666666667,60.411766,13.26676,80.0,28.0,60.411764705882355,0.0009463134920224547,12483,1.7158780097961426,,11
56.25,22.30891,109.0,32.0,56.25,74.14286,25.612099,126.0,42.0,74.14285714285714,-0.012327777221798897,13521,1.8394699096679688,,12
84.833336,19.986803,118.0,59.0,84.83333333333333,100.27273,39.88641,175.0,50.0,100.27272727272727,0.0012616515159606934,14624,1.971264123916626,,13
