Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
34.615383,17.211529,71.0,13.0,34.61538461538461,22.0,10.189508,58.0,10.0,22.0,-0.006425338797271252,1012,0.12276005744934082,22.0,0
43.8,34.956543,140.0,19.0,43.8,33.666668,21.06867,101.0,13.0,33.666666666666664,-0.013299377635121346,2022,0.47954297065734863,,1
59.857143,33.591785,129.0,28.0,59.857142857142854,44.869564,31.771336,150.0,16.0,44.869565217391305,-0.015555699355900288,3054,0.6018948554992676,,2
61.142857,33.103424,112.0,25.0,61.142857142857146,50.15,18.295559,89.0,25.0,50.15,0.0032289603259414434,4057,0.7338941097259521,,3
68.166664,26.585815,119.0,37.0,68.16666666666667,78.5,42.191315,200.0,28.0,78.5,-0.001646996010094881,5156,0.8637042045593262,,4
69.666664,29.499529,112.0,36.0,69.66666666666667,68.066666,24.150822,109.0,32.0,68.06666666666666,-0.016676247119903564,6177,0.9882349967956543,,5
121.5,22.67708,145.0,90.0,121.5,58.882355,31.220058,169.0,31.0,58.88235294117647,-0.011154974810779095,7178,1.1132822036743164,,6
82.6,22.204504,123.0,61.0,82.6,59.82353,18.683857,89.0,25.0,59.8235294117647,-0.010597663931548595,8195,1.2307331562042236,,7
75.166664,26.226048,120.0,40.0,75.16666666666667,84.5,29.553623,152.0,38.0,84.5,0.005356070585548878,9209,1.3530611991882324,,8
70.666664,21.163385,99.0,36.0,70.66666666666667,85.5,32.283897,174.0,49.0,85.5,-0.000411214423365891,10235,1.4742121696472168,,9
88.8,15.841718,108.0,69.0,88.8,105.3,38.91799,200.0,50.0,105.3,-0.005520352628082037,11288,1.5942330360412598,,10
73.85714,26.068201,129.0,47.0,73.85714285714286,64.75,19.957767,98.0,29.0,64.75,0.009089811705052853,12324,1.7187089920043945,,11
76.5,58.274494,200.0,34.0,76.5,74.64286,18.468534,110.0,34.0,74.64285714285714,-0.0074012852273881435,13369,1.8406789302825928,,12
103.25,45.26243,160.0,54.0,103.25,75.42857,24.529034,133.0,51.0,75.42857142857143,-0.0008432359318248928,14425,1.9593679904937744,,13
