Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
26.0625,12.487337,58.0,14.0,26.0625,21.891304,11.5292225,52.0,10.0,21.891304347826086,9.968942642211914,1007,0.12110495567321777,21.891304,0
40.7,13.928747,71.0,20.0,40.7,30.60606,15.027126,81.0,11.0,30.606060606060606,13.00666618347168,2017,0.4792361259460449,,1
34.083332,16.075129,66.0,17.0,34.083333333333336,40.96,23.5601,100.0,16.0,40.96,17.74837875366211,3041,0.6042160987854004,,2
54.625,22.253862,89.0,23.0,54.625,57.105263,29.132898,126.0,26.0,57.10526315789474,22.80031394958496,4126,0.7382631301879883,,3
68.28571,34.619213,148.0,40.0,68.28571428571429,69.0,31.128765,140.0,31.0,69.0,25.25121307373047,5230,0.869441032409668,,4
70.0,43.87102,145.0,28.0,70.0,62.9375,22.227428,120.0,28.0,62.9375,21.139123916625977,6237,0.9883222579956055,,5
91.2,25.293476,134.0,62.0,91.2,69.46667,34.530888,151.0,14.0,69.46666666666667,25.477476119995117,7279,1.1122949123382568,,6
92.4,35.33044,136.0,40.0,92.4,79.0,40.356106,199.0,39.0,79.0,28.24860191345215,8306,1.2331311702728271,,7
112.25,58.844604,200.0,51.0,112.25,87.25,32.848454,145.0,41.0,87.25,27.8698787689209,9353,1.3558061122894287,,8
89.6,34.534622,142.0,37.0,89.6,79.53846,28.491877,136.0,42.0,79.53846153846153,24.341419219970703,10387,1.475153923034668,,9
200.0,0.0,200.0,200.0,200.0,100.36364,28.333319,154.0,55.0,100.36363636363636,28.70555877685547,11491,1.595245122909546,,10
174.66667,20.417858,200.0,150.0,174.66666666666666,127.666664,59.51657,200.0,25.0,127.66666666666667,40.43150329589844,12640,1.7295241355895996,,11
184.33333,11.440669,200.0,173.0,184.33333333333334,156.85715,29.82055,200.0,123.0,156.85714285714286,42.59257507324219,13738,1.8618550300598145,,12
154.0,33.176296,200.0,123.0,154.0,161.85715,37.18843,200.0,110.0,161.85714285714286,43.599693298339844,14871,1.9898571968078613,,13
154.66667,30.070288,197.0,130.0,154.66666666666666,130.625,36.65016,185.0,61.0,130.625,35.88346481323242,15916,2.1127231121063232,,14
121.75,16.005857,140.0,98.0,121.75,131.25,21.81026,179.0,108.0,131.25,34.09067153930664,16966,2.238075017929077,,15
134.33333,14.659089,148.0,114.0,134.33333333333334,143.28572,25.761068,200.0,115.0,143.28571428571428,36.35924530029297,17969,2.3540611267089844,,16
144.0,4.9665546,148.0,137.0,144.0,145.85715,28.220705,200.0,114.0,145.85714285714286,36.6395149230957,18990,2.4732072353363037,,17
200.0,0.0,200.0,200.0,200.0,147.28572,34.73045,200.0,111.0,147.28571428571428,37.80630874633789,20021,2.5915050506591797,,18
200.0,0.0,200.0,200.0,200.0,182.83333,24.94271,200.0,132.0,182.83333333333334,45.86109924316406,21118,2.716135025024414,,19
200.0,0.0,200.0,200.0,200.0,184.66667,34.286373,200.0,108.0,184.66666666666666,43.975765228271484,22226,2.8433029651641846,,20
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,46.947113037109375,23226,2.9648373126983643,,21
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,48.26042938232422,24226,3.0815610885620117,,22
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,47.64503479003906,25226,3.2028090953826904,,23
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,47.99380111694336,26226,3.3220300674438477,,24
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,48.196388244628906,27226,3.4400970935821533,,25
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,47.2849006652832,28226,3.5588831901550293,,26
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,47.40414810180664,29226,3.679687023162842,,27
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,46.09695816040039,30226,3.7992420196533203,,28
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,50.00276565551758,31226,3.9186508655548096,,29
199.33333,0.942809,200.0,198.0,199.33333333333334,200.0,0.0,200.0,200.0,200.0,49.167110443115234,32226,4.0534021854400635,,30
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,47.82819366455078,33226,4.16995096206665,,31
200.0,0.0,200.0,200.0,200.0,183.66667,36.522446,200.0,102.0,183.66666666666666,46.637786865234375,34328,4.297548055648804,,32
164.33333,50.440285,200.0,93.0,164.33333333333334,179.16667,46.584747,200.0,75.0,179.16666666666666,43.802146911621094,35403,4.430449962615967,,33
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,45.88687515258789,36403,4.549520254135132,,34
177.66667,31.584105,200.0,133.0,177.66666666666666,145.85715,59.152176,200.0,74.0,145.85714285714286,39.45356369018555,37424,4.679524183273315,,35
172.0,25.152866,200.0,139.0,172.0,146.28572,51.93049,200.0,74.0,146.28571428571428,39.102508544921875,38448,4.810725212097168,,36
154.0,24.344748,179.0,121.0,154.0,151.42857,48.240047,200.0,79.0,151.42857142857142,38.9393424987793,39508,4.941083192825317,,37
141.25,59.21729,200.0,72.0,141.25,171.33333,36.83597,200.0,112.0,171.33333333333334,43.27711868286133,40536,5.074728012084961,,38
177.66667,31.584105,200.0,133.0,177.66666666666666,149.25,44.38116,200.0,75.0,149.25,38.15736770629883,41730,5.217832088470459,,39
200.0,0.0,200.0,200.0,200.0,169.83333,42.6709,200.0,108.0,169.83333333333334,43.06014633178711,42749,5.338807106018066,,40
157.66667,42.240055,200.0,100.0,157.66666666666666,169.5,29.60715,200.0,116.0,169.5,42.9838981628418,43766,5.462328195571899,,41
196.0,5.656854,200.0,188.0,196.0,169.83333,39.11699,200.0,92.0,169.83333333333334,44.845306396484375,44785,5.594974994659424,,42
183.66667,23.098822,200.0,151.0,183.66666666666666,184.5,34.659054,200.0,107.0,184.5,48.18197250366211,45892,5.73209023475647,,43
171.33333,40.54079,200.0,114.0,171.33333333333334,180.83333,29.812841,200.0,121.0,180.83333333333334,48.13296127319336,46977,5.86536717414856,,44
179.0,14.899665,200.0,167.0,179.0,162.71428,43.42058,200.0,103.0,162.71428571428572,43.70299530029297,48116,6.003107070922852,,45
200.0,0.0,200.0,200.0,200.0,166.28572,35.045742,200.0,98.0,166.28571428571428,45.2446403503418,49280,6.134335041046143,,46
153.66667,32.561054,199.0,124.0,153.66666666666666,175.5,26.202734,200.0,136.0,175.5,44.02741241455078,50333,6.2593512535095215,,47
162.66667,38.90444,200.0,109.0,162.66666666666666,200.0,0.0,200.0,200.0,200.0,49.947452545166016,51333,6.384253978729248,,48
200.0,0.0,200.0,200.0,200.0,177.0,37.991226,200.0,97.0,177.0,48.06258773803711,52395,6.508855104446411,,49
178.33333,16.499159,200.0,160.0,178.33333333333334,174.5,25.895624,200.0,140.0,174.5,44.373077392578125,53442,6.64503812789917,,50
162.66667,52.797306,200.0,88.0,162.66666666666666,174.66667,54.87764,200.0,52.0,174.66666666666666,49.225955963134766,54490,6.77942419052124,,51
200.0,0.0,200.0,200.0,200.0,165.14285,31.85426,200.0,120.0,165.14285714285714,43.70516586303711,55646,6.912982225418091,,52
177.66667,31.584105,200.0,133.0,177.66666666666666,178.33333,30.987453,200.0,127.0,178.33333333333334,46.08580017089844,56716,7.051013231277466,,53
148.66667,56.482048,200.0,70.0,148.66666666666666,167.33333,50.8975,200.0,65.0,167.33333333333334,48.56508255004883,57720,7.179049015045166,,54
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,52.90000915527344,58720,7.300623178482056,,55
160.33333,29.57852,200.0,129.0,160.33333333333334,149.71428,51.693367,200.0,69.0,149.71428571428572,42.88890075683594,59768,7.4307541847229,,56
183.66667,19.66949,200.0,156.0,183.66666666666666,187.0,29.068884,200.0,122.0,187.0,51.067115783691406,60890,7.574019193649292,,57
146.33333,73.085945,200.0,43.0,146.33333333333334,148.14285,47.66379,200.0,86.0,148.14285714285714,44.00699234008789,61927,7.701980113983154,,58
200.0,0.0,200.0,200.0,200.0,163.71428,57.434967,200.0,68.0,163.71428571428572,47.768699645996094,63073,7.835721969604492,,59
200.0,0.0,200.0,200.0,200.0,171.5,38.616707,200.0,96.0,171.5,47.972251892089844,64102,7.960541009902954,,60
179.66667,28.755676,200.0,139.0,179.66666666666666,200.0,0.0,200.0,200.0,200.0,52.57661056518555,65102,8.093967199325562,,61
200.0,0.0,200.0,200.0,200.0,198.0,4.472136,200.0,188.0,198.0,51.44675827026367,66290,8.229504108428955,,62
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,52.3641471862793,67290,8.351333141326904,,63
200.0,0.0,200.0,200.0,200.0,188.83333,24.969425,200.0,133.0,188.83333333333334,50.19130325317383,68423,8.483379125595093,,64
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,52.638301849365234,69423,8.60528016090393,,65
