Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
25.9375,17.75341,80.0,11.0,25.9375,25.666666,12.67004,57.0,10.0,25.666666666666668,22.039676666259766,1001,0.12594389915466309,25.666666,0
62.0,38.79617,145.0,12.0,62.0,26.384615,15.5573635,80.0,10.0,26.384615384615383,24.1418399810791,2030,0.47967004776000977,,1
41.5,22.227236,98.0,12.0,41.5,35.896553,19.624659,77.0,12.0,35.89655172413793,30.805742263793945,3071,0.6063220500946045,,2
41.4,15.863164,61.0,16.0,41.4,46.545456,25.22756,105.0,17.0,46.54545454545455,38.86857604980469,4095,0.7284860610961914,,3
60.857143,49.1715,176.0,20.0,60.857142857142854,49.52381,32.498524,129.0,15.0,49.523809523809526,43.99619674682617,5135,0.853754997253418,,4
87.4,28.688675,143.0,63.0,87.4,63.0625,23.00399,108.0,31.0,63.0625,44.58975601196289,6144,0.9735729694366455,,5
61.285713,25.622059,106.0,30.0,61.285714285714285,96.181816,45.360813,162.0,30.0,96.18181818181819,70.9649658203125,7202,1.0959510803222656,,6
82.0,35.62022,153.0,60.0,82.0,72.21429,26.022459,128.0,42.0,72.21428571428571,49.97827911376953,8213,1.212104082107544,,7
141.0,11.575837,152.0,125.0,141.0,87.75,36.708595,143.0,22.0,87.75,60.60992431640625,9266,1.333359956741333,,8
105.0,50.024994,147.0,23.0,105.0,111.44444,35.349403,178.0,67.0,111.44444444444444,72.81036376953125,10269,1.4482600688934326,,9
120.25,11.986972,137.0,107.0,120.25,95.36364,45.699158,200.0,36.0,95.36363636363636,68.59629821777344,11318,1.5735981464385986,,10
100.5,33.44772,135.0,47.0,100.5,145.85715,43.04957,200.0,89.0,145.85714285714286,90.22115325927734,12339,1.6902098655700684,,11
179.33333,29.22708,200.0,138.0,179.33333333333334,130.125,52.28632,200.0,58.0,130.125,87.13880920410156,13380,1.8172221183776855,,12
134.33333,51.22716,174.0,62.0,134.33333333333334,150.71428,35.831806,184.0,81.0,150.71428571428572,89.28083801269531,14435,1.9368531703948975,,13
144.5,40.635574,200.0,99.0,144.5,146.57143,47.11341,200.0,85.0,146.57142857142858,92.80306243896484,15461,2.0671939849853516,,14
186.0,19.79899,200.0,158.0,186.0,112.22222,54.759632,200.0,31.0,112.22222222222223,78.1196517944336,16471,2.1936299800872803,,15
153.0,50.457905,200.0,83.0,153.0,131.875,47.224033,200.0,80.0,131.875,81.7391128540039,17526,2.3187520503997803,,16
137.33333,35.405586,187.0,107.0,137.33333333333334,172.5,40.25647,200.0,88.0,172.5,97.15512084960938,18561,2.4377079010009766,,17
176.66667,32.998318,200.0,130.0,176.66666666666666,179.16667,29.633406,200.0,132.0,179.16666666666666,96.50425720214844,19636,2.566603183746338,,18
106.75,7.980445,116.0,94.0,106.75,164.85715,32.126663,200.0,124.0,164.85714285714286,90.22488403320312,20790,2.694655179977417,,19
171.66667,40.069386,200.0,115.0,171.66666666666666,142.75,47.858517,200.0,83.0,142.75,82.25338745117188,21932,2.8301000595092773,,20
134.0,48.463047,200.0,85.0,134.0,168.0,28.850187,200.0,127.0,168.0,88.74990844726562,22940,2.9524550437927246,,21
158.0,36.986485,200.0,110.0,158.0,138.75,34.193382,192.0,100.0,138.75,74.87529754638672,24050,3.084851026535034,,22
169.33333,43.369213,200.0,108.0,169.33333333333334,145.57143,45.893845,200.0,96.0,145.57142857142858,79.7661361694336,25069,3.21093487739563,,23
138.33333,41.02303,196.0,104.0,138.33333333333334,165.57143,25.325636,200.0,133.0,165.57142857142858,86.3242416381836,26228,3.341111898422241,,24
200.0,0.0,200.0,200.0,200.0,177.5,36.146694,200.0,99.0,177.5,94.01509857177734,27293,3.4643239974975586,,25
200.0,0.0,200.0,200.0,200.0,194.0,10.5987425,200.0,171.0,194.0,95.09009552001953,28457,3.5930309295654297,,26
200.0,0.0,200.0,200.0,200.0,198.83333,2.6087458,200.0,193.0,198.83333333333334,98.09465026855469,29650,3.723626136779785,,27
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,99.12012481689453,30650,3.8419318199157715,,28
200.0,0.0,200.0,200.0,200.0,191.0,20.12461,200.0,146.0,191.0,96.20661926269531,31796,3.9717600345611572,,29
200.0,0.0,200.0,200.0,200.0,185.0,22.143473,200.0,144.0,185.0,93.74589538574219,32906,4.099746942520142,,30
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,97.94366455078125,33906,4.220929861068726,,31
186.33333,19.327585,200.0,159.0,186.33333333333334,200.0,0.0,200.0,200.0,200.0,99.81481170654297,34906,4.352526903152466,,32
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,97.48014068603516,35906,4.4733710289001465,,33
200.0,0.0,200.0,200.0,200.0,186.66667,29.814241,200.0,120.0,186.66666666666666,95.78199005126953,37026,4.602711915969849,,34
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,98.50335693359375,38026,4.724311828613281,,35
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,100.61927795410156,39026,4.847003936767578,,36
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,100.10449981689453,40026,4.967267990112305,,37
200.0,0.0,200.0,200.0,200.0,196.83333,7.0808816,200.0,181.0,196.83333333333334,99.99625396728516,41207,5.098273038864136,,38
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,99.4310302734375,42207,5.218392848968506,,39
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,102.20917510986328,43207,5.337249994277954,,40
200.0,0.0,200.0,200.0,200.0,187.83333,17.324516,200.0,160.0,187.83333333333334,95.55699157714844,44334,5.46537709236145,,41
200.0,0.0,200.0,200.0,200.0,162.0,44.950768,200.0,79.0,162.0,90.25603485107422,45468,5.592199087142944,,42
200.0,0.0,200.0,200.0,200.0,164.85715,32.055435,200.0,117.0,164.85714285714286,88.22721099853516,46622,5.7209649085998535,,43
182.0,25.455845,200.0,146.0,182.0,128.5,61.053257,200.0,60.0,128.5,83.19637298583984,47650,5.852771043777466,,44
135.66667,56.723503,200.0,62.0,135.66666666666666,134.25,53.150143,200.0,58.0,134.25,81.0020980834961,48724,5.977589130401611,,45
42.0,46.96047,200.0,10.0,42.0,82.0,68.21347,200.0,16.0,82.0,77.33082580566406,49790,6.1145360469818115,,46
200.0,0.0,200.0,200.0,200.0,89.25,65.32754,200.0,14.0,89.25,71.10513305664062,50861,6.237914085388184,,47
139.0,75.1199,200.0,16.0,139.0,71.85714,70.090614,200.0,15.0,71.85714285714286,69.85377502441406,51867,6.368085145950317,,48
200.0,0.0,200.0,200.0,200.0,89.15385,65.73355,200.0,17.0,89.15384615384616,72.92481231689453,53026,6.49912691116333,,49
129.25,63.163975,200.0,27.0,129.25,95.0,57.56893,200.0,27.0,95.0,65.82112884521484,54071,6.630198955535889,,50
183.0,24.04163,200.0,149.0,183.0,150.57143,71.21768,200.0,20.0,150.57142857142858,94.12071228027344,55125,6.763594150543213,,51
130.5,69.729836,200.0,53.0,130.5,148.75,55.388966,200.0,53.0,148.75,84.6134262084961,56315,6.905734062194824,,52
200.0,0.0,200.0,200.0,200.0,197.83333,4.844814,200.0,187.0,197.83333333333334,97.8170394897461,57502,7.040102005004883,,53
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,101.04369354248047,58502,7.160170078277588,,54
200.0,0.0,200.0,200.0,200.0,191.5,13.462912,200.0,164.0,191.5,95.49539184570312,59651,7.292021036148071,,55
190.66667,6.6499786,200.0,185.0,190.66666666666666,200.0,0.0,200.0,200.0,200.0,97.81609344482422,60651,7.424736022949219,,56
200.0,0.0,200.0,200.0,200.0,173.66667,39.735233,200.0,97.0,173.66666666666666,89.98319244384766,61693,7.550347089767456,,57
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,98.72806549072266,62693,7.6742470264434814,,58
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,95.35066986083984,63693,7.799393177032471,,59
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,95.68626403808594,64693,7.921988010406494,,60
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,93.42826843261719,65693,8.042916059494019,,61
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,102.0420913696289,66693,8.163696050643921,,62
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,92.46322631835938,67693,8.286089181900024,,63
200.0,0.0,200.0,200.0,200.0,191.83333,18.261223,200.0,151.0,191.83333333333334,92.45062255859375,68844,8.41913890838623,,64
180.0,28.284271,200.0,140.0,180.0,175.83333,54.03831,200.0,55.0,175.83333333333334,91.57491302490234,69899,8.557334184646606,,65
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,96.74372100830078,70899,8.679832935333252,,66
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,91.08959197998047,71899,8.80237102508545,,67
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,98.59717559814453,72899,8.92483901977539,,68
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,93.9073257446289,73899,9.051253080368042,,69
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,92.09197998046875,74899,9.175425052642822,,70
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,94.08990478515625,75899,9.299993991851807,,71
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,97.38507080078125,76899,9.42586898803711,,72
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,97.2507095336914,77899,9.550617933273315,,73
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,98.246826171875,78899,9.67579197883606,,74
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,100.25885772705078,79899,9.798017978668213,,75
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,99.59123229980469,80899,9.923144102096558,,76
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,102.24748229980469,81899,10.047024965286255,,77
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,104.03168487548828,82899,10.171695947647095,,78
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,105.24868774414062,83899,10.29561996459961,,79
