Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
37.4,14.086873,66.0,23.0,37.4,0,,,,,,,,
,,,,,15,16.0,16,,,,,,
,,,,,48,33.0,33,,,,,,
,,,,,73,25.0,25,,,,,,
,,,,,82,9.0,9,,,,,,
,,,,,94,12.0,12,,,,,,
,,,,,111,17.0,17,,,,,,
,,,,,138,27.0,27,,,,,,
,,,,,149,11.0,11,,,,,,
,,,,,172,23.0,23,,,,,,
,,,,,190,18.0,18,,,,,,
,,,,,208,18.0,18,,,,,,
,,,,,228,20.0,20,,,,,,
,,,,,250,22.0,22,,,,,,
,,,,,289,39.0,39,,,,,,
,,,,,310,21.0,21,,,,,,
,,,,,339,29.0,29,,,,,,
,,,,,367,28.0,28,,,,,,
,,,,,380,13.0,13,,,,,,
,,,,,412,32.0,32,,,,,,
,,,,,429,17.0,17,,,,,,
,,,,,441,12.0,12,,,,,,
,,,,,452,11.0,11,,,,,,
,,,,,471,19.0,19,,,,,,
,,,,,484,13.0,13,,,,,,
,,,,,511,27.0,27,,,,,,
,,,,,528,17.0,17,,,,,,
,,,,,552,24.0,24,,,,,,
,,,,,569,17.0,17,,,,,,
,,,,,597,28.0,28,,,,,,
,,,,,615,18.0,18,,,,,,
,,,,,627,12.0,12,,,,,,
,,,,,646,19.0,19,,,,,,
,,,,,659,13.0,13,,,,,,
,,,,,683,24.0,24,,,,,,
,,,,,722,39.0,39,,,,,,
,,,,,743,21.0,21,,,,,,
,,,,,766,23.0,23,,,,,,
,,,,,783,17.0,17,,,,,,
,,,,,800,17.0,17,,,,,,
,,,,,811,11.0,11,,,,,,
,,,,,823,12.0,12,,,,,,
,,,,,847,24.0,24,,,,,,
,,,,,863,16.0,16,,,,,,
,,,,,886,23.0,23,,,,,,
,,,,,919,33.0,33,,,,,,
,,,,,936,17.0,17,,,,,,
,,,,,950,14.0,14,,,,,,
,,,,,968,18.0,18,,,,,,
,,,,,1000,,,1.1152950525283813,0.052996937185525894,1.104906439781189,2.8663034439086914,0.97,0.0005
,,,,,1007,39.0,39,,,,,,
,,,,,1034,27.0,27,,,,,,
,,,,,1045,11.0,11,,,,,,
,,,,,1068,23.0,23,,,,,,
,,,,,1077,9.0,9,,,,,,
,,,,,1090,13.0,13,,,,,,
,,,,,1115,25.0,25,,,,,,
,,,,,1132,17.0,17,,,,,,
,,,,,1163,31.0,31,,,,,,
,,,,,1185,22.0,22,,,,,,
,,,,,1197,12.0,12,,,,,,
,,,,,1209,12.0,12,,,,,,
,,,,,1250,41.0,41,,,,,,
,,,,,1265,15.0,15,,,,,,
,,,,,1290,25.0,25,,,,,,
,,,,,1307,17.0,17,,,,,,
,,,,,1335,28.0,28,,,,,,
,,,,,1347,12.0,12,,,,,,
,,,,,1367,20.0,20,,,,,,
,,,,,1383,16.0,16,,,,,,
,,,,,1399,16.0,16,,,,,,
,,,,,1417,18.0,18,,,,,,
,,,,,1429,12.0,12,,,,,,
,,,,,1451,22.0,22,,,,,,
,,,,,1474,23.0,23,,,,,,
,,,,,1502,28.0,28,,,,,,
,,,,,1515,13.0,13,,,,,,
,,,,,1526,11.0,11,,,,,,
,,,,,1547,21.0,21,,,,,,
,,,,,1575,28.0,28,,,,,,
,,,,,1596,21.0,21,,,,,,
,,,,,1621,25.0,25,,,,,,
,,,,,1631,10.0,10,,,,,,
,,,,,1649,18.0,18,,,,,,
,,,,,1672,23.0,23,,,,,,
,,,,,1703,31.0,31,,,,,,
,,,,,1719,16.0,16,,,,,,
,,,,,1736,17.0,17,,,,,,
,,,,,1757,21.0,21,,,,,,
,,,,,1778,21.0,21,,,,,,
,,,,,1801,23.0,23,,,,,,
,,,,,1832,31.0,31,,,,,,
,,,,,1851,19.0,19,,,,,,
,,,,,1873,22.0,22,,,,,,
,,,,,1886,13.0,13,,,,,,
,,,,,1906,20.0,20,,,,,,
,,,,,1935,29.0,29,,,,,,
,,,,,1954,19.0,19,,,,,,
,,,,,1973,19.0,19,,,,,,
,,,,,1987,14.0,14,,,,,,
,,,,,2000,,,0.002583511173725128,1.131223201751709,1.1382923126220703,0.04550570622086525,0.94,0.0005
,,,,,2001,14.0,14,,,,,,
,,,,,2011,10.0,10,,,,,,
,,,,,2056,45.0,45,,,,,,
,,,,,2072,16.0,16,,,,,,
,,,,,2089,17.0,17,,,,,,
,,,,,2109,20.0,20,,,,,,
,,,,,2122,13.0,13,,,,,,
,,,,,2149,27.0,27,,,,,,
,,,,,2184,35.0,35,,,,,,
,,,,,2200,16.0,16,,,,,,
,,,,,2214,14.0,14,,,,,,
,,,,,2246,32.0,32,,,,,,
