Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
-734.05194,129.05385,-635.59827,-916.36707,1000.0,-748.5935,114.64699,-606.85596,-947.0948,1000.0,-126.93475341796875,5000,0.6215710639953613,-748.5935,0
-764.8589,54.381233,-704.9952,-836.6026,1000.0,-792.34125,63.548573,-749.06146,-918.7302,1000.0,-132.6325225830078,10000,1.4433650970458984,,1
-876.3306,132.01611,-692.9726,-998.4606,1000.0,-808.0558,54.63089,-734.90137,-881.1216,1000.0,-134.0057373046875,15000,2.036327838897705,,2
-901.40576,167.49174,-665.13495,-1034.1113,1000.0,-892.31085,184.61426,-613.1522,-1178.5492,1000.0,-146.5176544189453,20000,2.628391742706299,,3
-854.94464,56.164738,-779.4911,-914.16064,1000.0,-929.1986,87.18569,-808.5715,-1076.8809,1000.0,-152.16656494140625,25000,3.216820001602173,,4
-1000.0791,108.37394,-861.2203,-1125.6871,1000.0,-954.3965,69.791084,-869.75415,-1065.0088,1000.0,-157.0660858154297,30000,3.8192968368530273,,5
-1041.7847,69.89143,-947.8091,-1115.2991,1000.0,-963.4916,143.34435,-781.1537,-1218.9298,1000.0,-155.5559844970703,35000,4.411771774291992,,6
-1152.0244,36.56868,-1113.8507,-1201.3268,1000.0,-1107.92,69.62456,-982.5327,-1190.6567,1000.0,-180.53067016601562,40000,5.004896879196167,,7
-1076.0858,34.09502,-1038.0271,-1120.7542,1000.0,-1145.7336,41.27455,-1096.677,-1195.3856,1000.0,-185.7295684814453,45000,5.596292972564697,,8
-1135.1533,86.712685,-1046.6221,-1252.9056,1000.0,-1241.2537,178.40662,-1096.4666,-1581.1986,1000.0,-199.9784698486328,50000,6.189666032791138,,9
-1193.2701,78.97395,-1103.3064,-1295.5688,1000.0,-1220.1731,104.11338,-1063.6414,-1347.713,1000.0,-196.8483428955078,55000,6.787481069564819,,10
-1227.7667,62.715286,-1139.2504,-1276.8687,1000.0,-1208.958,74.86784,-1126.3247,-1344.9591,1000.0,-194.2637939453125,60000,7.3895039558410645,,11
-1248.9243,42.0664,-1198.2562,-1301.2571,1000.0,-1133.823,122.18719,-961.14026,-1290.0465,1000.0,-180.2666473388672,65000,7.990533828735352,,12
-1264.9388,12.038544,-1248.669,-1277.4164,1000.0,-1231.8557,36.63428,-1177.6027,-1273.1633,1000.0,-194.8563232421875,70000,8.593923091888428,,13
