Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
-246.53531,60.5595,-153.54536,-358.3047,1000.0,0,,,,,,,,,,
,,,,,999,-294.56894,1000,,,,,,,,
,,,,,1999,-221.92784,1000,,,,,,,,
,,,,,2999,-293.84332,1000,,,,,,,,
,,,,,3999,-242.55539,1000,,,,,,,,
,,,,,4999,-85.75694,1000,,,,,,,,
-254.1036,54.792595,-170.60481,-382.62033,1000.0,5000,,,,,,,,,,
,,,,,5999,-259.5869,1000,,,,,,,,
,,,,,6999,-237.7366,1000,,,,,,,,
,,,,,7999,-216.97392,1000,,,,,,,,
,,,,,8999,-197.33554,1000,,,,,,,,
,,,,,9999,-241.28778,1000,,,,,,,,
-233.84854,97.00125,-113.45844,-460.03418,1000.0,10000,,,-0.34817737340927124,3.714078903198242,0.4655998945236206,-0.022960806265473366,0.1044398844242096,0.0003,0.0003,0.1
,,,,,10999,-219.82466,1000,,,,,,,,
,,,,,11000,,,-2.3923962116241455,2.5445547103881836,0.4704604148864746,1.7085001468658447,1.6692314147949219,0.0003,0.0003,0.1
,,,,,11999,-203.81282,1000,,,,,,,,
,,,,,12000,,,-4.181764602661133,2.9503369331359863,0.6833773851394653,3.5547354221343994,3.6308999061584473,0.0003,0.0003,0.1
,,,,,12999,-232.31987,1000,,,,,,,,
,,,,,13000,,,-6.026125907897949,2.0559678077697754,0.7501745223999023,5.1700849533081055,5.111417293548584,0.0003,0.0003,0.1
,,,,,13999,-172.52972,1000,,,,,,,,
,,,,,14000,,,-8.560440063476562,2.0642006397247314,0.7723478078842163,7.725573539733887,7.879555702209473,0.0003,0.0003,0.1
,,,,,14999,-193.30855,1000,,,,,,,,
-140.75285,33.370846,-62.147076,-189.31607,1000.0,15000,,,-11.23105239868164,2.0000758171081543,0.5180032849311829,10.312825202941895,10.419330596923828,0.0003,0.0003,0.1
,,,,,15999,-209.3885,1000,,,,,,,,
,,,,,16000,,,-13.16718578338623,2.265789031982422,0.5662728548049927,12.268533706665039,12.426010131835938,0.0003,0.0003,0.1
,,,,,16999,-127.37692,1000,,,,,,,,
,,,,,17000,,,-14.936687469482422,2.268340587615967,0.49477052688598633,14.135587692260742,14.16435718536377,0.0003,0.0003,0.1
,,,,,17999,411.49948,1000,,,,,,,,
,,,,,18000,,,-16.444353103637695,2.287235736846924,0.3953232169151306,15.717952728271484,15.930537223815918,0.0003,0.0003,0.1
,,,,,18999,-18.806105,1000,,,,,,,,
,,,,,19000,,,-19.316627502441406,1.9708325862884521,0.46359896659851074,18.586650848388672,18.538572311401367,0.0003,0.0003,0.1
,,,,,19999,-69.168396,1000,,,,,,,,
865.08234,169.21397,1009.238,391.49988,1000.0,20000,,,-19.89752960205078,1.9515156745910645,0.4933357238769531,19.068082809448242,18.99738311767578,0.0003,0.0003,0.1
,,,,,20999,1001.9787,1000,,,,,,,,
,,,,,21000,,,-23.03237533569336,1.8282749652862549,0.38690829277038574,22.251461029052734,22.262042999267578,0.0003,0.0003,0.1
,,,,,21999,1111.7164,1000,,,,,,,,
,,,,,22000,,,-25.766956329345703,1.5324807167053223,0.5075785517692566,24.966707229614258,24.865365982055664,0.0003,0.0003,0.1
,,,,,22999,1160.7264,1000,,,,,,,,
,,,,,23000,,,-29.66204071044922,1.3289157152175903,0.43601077795028687,28.801231384277344,28.692541122436523,0.0003,0.0003,0.1
,,,,,23999,1323.6307,1000,,,,,,,,
,,,,,24000,,,-33.48624038696289,1.0277705192565918,0.4404084086418152,32.59745788574219,32.60821533203125,0.0003,0.0003,0.1
,,,,,24999,970.8675,1000,,,,,,,,
1076.768,494.2798,1534.5809,404.12958,1000.0,25000,,,-37.08669662475586,1.0108327865600586,0.4492916464805603,36.18344497680664,36.35221481323242,0.0003,0.0003,0.1
,,,,,25999,654.0063,1000,,,,,,,,
,,,,,26000,,,-39.84632110595703,0.4430915117263794,0.5416741371154785,38.93110275268555,38.98006820678711,0.0003,0.0003,0.1
