Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
19.054688,6.0468884,27.780916,7.176793,21.1,0,,,,,,,,,,
,,,,,14,10.993588,15,,,,,,,,
,,,,,34,15.411754,20,,,,,,,,
,,,,,77,60.220325,43,,,,,,,,
,,,,,102,12.715611,25,,,,,,,,
,,,,,115,11.203184,13,,,,,,,,
,,,,,127,10.1707735,12,,,,,,,,
,,,,,141,9.260858,14,,,,,,,,
,,,,,158,10.313222,17,,,,,,,,
,,,,,180,12.214359,22,,,,,,,,
,,,,,211,20.386816,31,,,,,,,,
,,,,,230,11.779179,19,,,,,,,,
,,,,,259,24.821058,29,,,,,,,,
,,,,,280,14.961244,21,,,,,,,,
,,,,,303,11.772036,23,,,,,,,,
,,,,,320,17.9124,17,,,,,,,,
,,,,,331,7.5941043,11,,,,,,,,
,,,,,344,11.579568,13,,,,,,,,
,,,,,359,9.167932,15,,,,,,,,
,,,,,425,99.97018,66,,,,,,,,
,,,,,442,9.640649,17,,,,,,,,
,,,,,471,35.71479,29,,,,,,,,
,,,,,492,12.74368,21,,,,,,,,
,,,,,548,84.92314,56,,,,,,,,
,,,,,558,5.862619,10,,,,,,,,
,,,,,572,8.84516,14,,,,,,,,
,,,,,589,17.6741,17,,,,,,,,
,,,,,604,9.592309,15,,,,,,,,
,,,,,624,21.509426,20,,,,,,,,
,,,,,646,16.669197,22,,,,,,,,
,,,,,671,14.70689,25,,,,,,,,
,,,,,680,5.2723775,9,,,,,,,,
,,,,,728,44.062794,48,,,,,,,,
,,,,,748,12.327091,20,,,,,,,,
,,,,,767,10.625359,19,,,,,,,,
,,,,,781,11.218133,14,,,,,,,,
,,,,,802,16.445618,21,,,,,,,,
,,,,,822,12.264758,20,,,,,,,,
,,,,,843,19.5355,21,,,,,,,,
,,,,,860,10.699813,17,,,,,,,,
,,,,,896,29.462471,36,,,,,,,,
,,,,,920,12.388292,24,,,,,,,,
,,,,,939,18.530983,19,,,,,,,,
,,,,,952,6.5279717,13,,,,,,,,
