Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
16.170717,5.9073257,30.51714,7.148442,18.7,0,,,,,,,,,,
,,,,,14,11.621793,15,,,,,,,,
,,,,,29,13.04667,15,,,,,,,,
,,,,,50,9.878812,21,,,,,,,,
,,,,,79,10.755245,29,,,,,,,,
,,,,,97,17.525675,18,,,,,,,,
,,,,,118,11.11674,21,,,,,,,,
,,,,,131,10.155938,13,,,,,,,,
,,,,,165,27.276463,34,,,,,,,,
,,,,,180,11.5031185,15,,,,,,,,
,,,,,213,15.270522,33,,,,,,,,
,,,,,238,14.75976,25,,,,,,,,
,,,,,257,17.394398,19,,,,,,,,
,,,,,266,6.187627,9,,,,,,,,
,,,,,285,7.620307,19,,,,,,,,
,,,,,314,23.840084,29,,,,,,,,
,,,,,324,7.8237557,10,,,,,,,,
,,,,,340,11.669927,16,,,,,,,,
,,,,,355,8.146252,15,,,,,,,,
,,,,,376,13.936087,21,,,,,,,,
,,,,,386,5.9065685,10,,,,,,,,
,,,,,407,21.953688,21,,,,,,,,
,,,,,432,27.827599,25,,,,,,,,
,,,,,452,11.580971,20,,,,,,,,
,,,,,470,14.358233,18,,,,,,,,
,,,,,514,65.23843,44,,,,,,,,
,,,,,576,106.89127,62,,,,,,,,
,,,,,613,16.689816,37,,,,,,,,
,,,,,630,6.8998723,17,,,,,,,,
,,,,,644,7.155778,14,,,,,,,,
,,,,,676,20.6743,32,,,,,,,,
,,,,,691,14.467548,15,,,,,,,,
,,,,,705,10.770521,14,,,,,,,,
,,,,,723,13.320129,18,,,,,,,,
,,,,,765,12.700984,42,,,,,,,,
,,,,,779,10.641019,14,,,,,,,,
,,,,,800,12.432307,21,,,,,,,,
,,,,,827,23.806416,27,,,,,,,,
,,,,,841,11.55023,14,,,,,,,,
,,,,,858,11.647754,17,,,,,,,,
,,,,,878,19.426865,20,,,,,,,,
,,,,,900,10.640708,22,,,,,,,,
,,,,,914,9.410647,14,,,,,,,,
,,,,,928,10.267641,14,,,,,,,,
,,,,,938,7.2915907,10,,,,,,,,
,,,,,984,38.28726,46,,,,,,,,
,,,,,1009,7.18695,25,,,,,,,,
,,,,,1029,13.987173,20,,,,,,,,
,,,,,1050,17.551754,21,,,,,,,,
,,,,,1060,7.0796633,10,,,,,,,,
,,,,,1074,8.823208,14,,,,,,,,
,,,,,1104,7.249562,30,,,,,,,,
,,,,,1134,36.283234,30,,,,,,,,
,,,,,1165,34.375393,31,,,,,,,,
,,,,,1183,15.955972,18,,,,,,,,
,,,,,1205,23.016857,22,,,,,,,,
,,,,,1235,19.356428,30,,,,,,,,
,,,,,1252,12.907754,17,,,,,,,,
,,,,,1267,7.551159,15,,,,,,,,
,,,,,1312,19.245144,45,,,,,,,,
,,,,,1337,11.494406,25,,,,,,,,
,,,,,1368,35.265198,31,,,,,,,,
,,,,,1390,21.83595,22,,,,,,,,
,,,,,1424,19.624817,34,,,,,,,,
,,,,,1436,6.0197587,12,,,,,,,,
,,,,,1457,9.936689,21,,,,,,,,
,,,,,1466,7.036805,9,,,,,,,,
,,,,,1488,12.827034,22,,,,,,,,
,,,,,1514,27.735926,26,,,,,,,,
,,,,,1528,11.952793,14,,,,,,,,
,,,,,1546,15.757417,18,,,,,,,,
,,,,,1558,9.091477,12,,,,,,,,
,,,,,1584,16.944548,26,,,,,,,,
,,,,,1595,7.963824,11,,,,,,,,
,,,,,1607,9.395314,12,,,,,,,,
,,,,,1624,16.442036,17,,,,,,,,
,,,,,1668,29.52158,44,,,,,,,,
,,,,,1681,9.097795,13,,,,,,,,
,,,,,1708,24.378477,27,,,,,,,,
,,,,,1751,42.117992,43,,,,,,,,
,,,,,1764,7.8896966,13,,,,,,,,
,,,,,1787,25.971905,23,,,,,,,,
,,,,,1805,19.352077,18,,,,,,,,
,,,,,1825,14.41611,20,,,,,,,,
,,,,,1846,21.870975,21,,,,,,,,
,,,,,1874,25.76163,28,,,,,,,,
,,,,,1911,19.063917,37,,,,,,,,
,,,,,1942,40.188957,31,,,,,,,,
,,,,,1961,14.296354,19,,,,,,,,
,,,,,1981,17.03367,20,,,,,,,,
,,,,,1998,12.358772,17,,,,,,,,
,,,,,2011,8.200201,13,,,,,,,,
,,,,,2037,26.087507,26,,,,,,,,
,,,,,2063,19.127554,26,,,,,,,,
,,,,,2077,4.9846697,14,,,,,,,,
,,,,,2087,6.730942,10,,,,,,,,
,,,,,2116,15.804453,29,,,,,,,,
,,,,,2130,10.529146,14,,,,,,,,
,,,,,2154,27.248877,24,,,,,,,,
,,,,,2165,8.5820265,11,,,,,,,,
,,,,,2214,70.017555,49,,,,,,,,
,,,,,2239,18.636467,25,,,,,,,,
,,,,,2258,11.677512,19,,,,,,,,
,,,,,2275,16.539944,17,,,,,,,,
,,,,,2290,8.783563,15,,,,,,,,
,,,,,2305,11.465765,15,,,,,,,,
,,,,,2319,10.178509,14,,,,,,,,
,,,,,2344,19.654367,25,,,,,,,,
,,,,,2361,11.690794,17,,,,,,,,
,,,,,2387,19.053051,26,,,,,,,,
,,,,,2415,11.429758,28,,,,,,,,
,,,,,2428,9.53254,13,,,,,,,,
,,,,,2439,7.540358,11,,,,,,,,
,,,,,2456,12.834078,17,,,,,,,,
,,,,,2496,53.17408,40,,,,,,,,
,,,,,2508,9.904801,12,,,,,,,,
,,,,,2532,20.076935,24,,,,,,,,
,,,,,2548,13.889553,16,,,,,,,,
,,,,,2566,17.060656,18,,,,,,,,
,,,,,2582,14.098256,16,,,,,,,,
,,,,,2690,231.19632,108,,,,,,,,
,,,,,2717,22.424185,27,,,,,,,,
,,,,,2727,8.447092,10,,,,,,,,
,,,,,2751,22.776596,24,,,,,,,,
,,,,,2774,9.724803,23,,,,,,,,
,,,,,2798,13.433665,24,,,,,,,,
,,,,,2817,18.435501,19,,,,,,,,
,,,,,2832,10.093791,15,,,,,,,,
,,,,,2858,21.34756,26,,,,,,,,
,,,,,2872,10.140986,14,,,,,,,,
,,,,,2901,9.6557865,29,,,,,,,,
,,,,,2928,17.670021,27,,,,,,,,
,,,,,2943,11.308087,15,,,,,,,,
,,,,,2964,18.185244,21,,,,,,,,
,,,,,2978,13.567265,14,,,,,,,,
,,,,,3031,57.597305,53,,,,,,,,
,,,,,3065,24.260868,34,,,,,,,,
,,,,,3076,7.457505,11,,,,,,,,
,,,,,3094,15.123237,18,,,,,,,,
,,,,,3106,6.248478,12,,,,,,,,
,,,,,3120,9.266419,14,,,,,,,,
,,,,,3133,11.679566,13,,,,,,,,
,,,,,3144,8.651005,11,,,,,,,,
,,,,,3192,55.98179,48,,,,,,,,
,,,,,3212,17.799414,20,,,,,,,,
,,,,,3224,9.913356,12,,,,,,,,
,,,,,3259,27.755236,35,,,,,,,,
,,,,,3290,14.101537,31,,,,,,,,
,,,,,3321,18.996937,31,,,,,,,,
,,,,,3391,92.18007,70,,,,,,,,
,,,,,3408,12.076826,17,,,,,,,,
,,,,,3421,10.372064,13,,,,,,,,
,,,,,3450,28.912577,29,,,,,,,,
,,,,,3479,11.685497,29,,,,,,,,
,,,,,3509,25.717777,30,,,,,,,,
,,,,,3523,9.777864,14,,,,,,,,
,,,,,3544,18.381294,21,,,,,,,,
,,,,,3574,33.4722,30,,,,,,,,
,,,,,3591,14.08525,17,,,,,,,,
,,,,,3601,6.5778866,10,,,,,,,,
,,,,,3613,5.824215,12,,,,,,,,
,,,,,3631,9.272468,18,,,,,,,,
,,,,,3666,31.229366,35,,,,,,,,
,,,,,3682,12.422923,16,,,,,,,,
,,,,,3752,67.53865,70,,,,,,,,
,,,,,3768,9.123083,16,,,,,,,,
,,,,,3785,10.303181,17,,,,,,,,
,,,,,3796,8.584597,11,,,,,,,,
,,,,,3813,15.181377,17,,,,,,,,
,,,,,3842,36.867752,29,,,,,,,,
,,,,,3856,11.754679,14,,,,,,,,
,,,,,3870,12.87314,14,,,,,,,,
,,,,,3881,7.5424986,11,,,,,,,,
,,,,,3895,12.24764,14,,,,,,,,
,,,,,3917,8.842779,22,,,,,,,,
,,,,,3962,70.65929,45,,,,,,,,
,,,,,3981,15.420845,19,,,,,,,,
,,,,,4001,16.82179,20,,,,,,,,
,,,,,4018,12.661293,17,,,,,,,,
