Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
-709.8646,252.57066,-492.9083,-1356.922,96.3,0,,,,,,,,
,,,,,75,-150.07765,76,,,,,,
,,,,,149,-101.939415,74,,,,,,
,,,,,244,-117.153275,95,,,,,,
,,,,,347,-204.33167,103,,,,,,
,,,,,430,-378.06482,83,,,,,,
,,,,,526,-398.34885,96,,,,,,
,,,,,640,-469.15915,114,,,,,,
,,,,,698,-137.00708,58,,,,,,
,,,,,761,-58.684704,63,,,,,,
,,,,,849,-145.86438,88,,,,,,
,,,,,921,-149.48947,72,,,,,,
,,,,,985,-77.793236,64,,,,,,
,,,,,1079,-96.295166,94,,,,,,
,,,,,1151,-162.65887,72,,,,,,
,,,,,1228,-267.3828,77,,,,,,
,,,,,1332,-125.09596,104,,,,,,
,,,,,1395,-169.54056,63,,,,,,
,,,,,1481,-119.71453,86,,,,,,
,,,,,1601,-183.53636,120,,,,,,
,,,,,1663,-123.68572,62,,,,,,
,,,,,1742,-261.02155,79,,,,,,
,,,,,1848,-95.45679,106,,,,,,
,,,,,1923,-140.93658,75,,,,,,
,,,,,2024,-99.94946,101,,,,,,
,,,,,2114,-135.62813,90,,,,,,
,,,,,2194,-349.54617,80,,,,,,
,,,,,2299,-104.26267,105,,,,,,
,,,,,2411,-356.965,112,,,,,,
,,,,,2507,-86.07114,96,,,,,,
,,,,,2657,-107.82543,150,,,,,,
,,,,,2787,-308.33197,130,,,,,,
,,,,,2857,-145.70547,70,,,,,,
,,,,,2924,-164.96954,67,,,,,,
,,,,,3003,-104.15932,79,,,,,,
,,,,,3098,-362.98996,95,,,,,,
,,,,,3221,-232.73727,123,,,,,,
,,,,,3315,-52.05777,94,,,,,,
,,,,,3403,-61.36974,88,,,,,,
,,,,,3509,-581.23975,106,,,,,,
,,,,,3629,-321.84912,120,,,,,,
,,,,,3736,-498.96844,107,,,,,,
,,,,,3838,-217.90366,102,,,,,,
,,,,,3934,-113.27344,96,,,,,,
,,,,,4008,-98.03891,74,,,,,,
,,,,,4093,-122.57313,85,,,,,,
,,,,,4169,-81.531815,76,,,,,,
,,,,,4241,-346.55884,72,,,,,,
,,,,,4331,-386.78937,90,,,,,,
,,,,,4418,-198.48041,87,,,,,,
,,,,,4506,-246.06686,88,,,,,,
,,,,,4582,-72.164345,76,,,,,,
,,,,,4655,-75.1254,73,,,,,,
,,,,,4746,-383.8919,91,,,,,,
,,,,,4862,-142.1682,116,,,,,,
,,,,,4957,-127.11548,95,,,,,,
,,,,,5055,-89.53505,98,,,,,,
,,,,,5170,-97.27737,115,,,,,,
,,,,,5258,-114.42412,88,,,,,,
,,,,,5394,-200.85385,136,,,,,,
,,,,,5530,-97.28273,136,,,,,,
,,,,,5604,-196.53485,74,,,,,,
,,,,,5691,-187.6095,87,,,,,,
,,,,,5849,-135.47993,158,,,,,,
,,,,,5937,-373.50195,88,,,,,,
,,,,,6062,-152.0474,125,,,,,,
,,,,,6137,-102.69298,75,,,,,,
,,,,,6251,-135.54529,114,,,,,,
