Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Baseline Loss 0,Baseline Loss 1,Baseline Loss 2,Baseline Loss 3,Baseline Loss 4,Baseline Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
-190.65776,98.40986,-47.14748,-435.62326,85.875,-188.17336,123.49222,-7.718422,-438.13818,88.95833333333333,-80.02754974365234,14816.0283203125,14617.5361328125,14338.095703125,13986.9951171875,13647.0224609375,13647.0224609375,2135,0.5939750671386719,-188.17336,0
-186.60616,92.081184,-73.884705,-429.21686,86.91666666666667,-180.1985,100.674034,-90.29995,-461.59103,91.31818181818181,-72.66690826416016,12028.2470703125,11834.25,11687.3466796875,11559.01953125,11436.443359375,11436.443359375,4144,1.5146839618682861,,1
-141.61777,84.608765,30.076385,-372.42917,89.6086956521739,-146.70868,86.11136,-58.70362,-494.36392,91.5,-53.52037811279297,7424.30419921875,7334.82177734375,7246.5732421875,7159.416015625,7073.29443359375,7073.29443359375,6157,2.0470550060272217,,2
-149.9511,68.7701,-14.557289,-363.7712,91.18181818181819,-176.1604,96.59605,-19.215118,-420.28845,92.72727272727273,-61.82723617553711,9188.2001953125,9084.9052734375,8981.697265625,8878.7666015625,8776.271484375,8776.271484375,8197,2.5696871280670166,,3
-137.98297,85.871414,-4.5271225,-383.1319,94.54545454545455,-128.1145,85.86952,-2.9773178,-415.5716,91.43478260869566,-40.51262664794922,5629.49267578125,5560.1904296875,5492.947265625,5427.61181640625,5364.05029296875,5364.05029296875,10300,3.113058090209961,,4
-122.844604,53.398422,-51.632584,-268.61456,84.75,-132.23386,77.96901,7.985901,-396.11383,92.13636363636364,-39.21440887451172,5135.0302734375,5073.138671875,5012.64990234375,4953.49365234375,4895.60986328125,4895.60986328125,12327,3.6408259868621826,,5
-103.06408,43.831783,19.837654,-188.8913,86.95652173913044,-130.55405,82.07016,42.282967,-420.94373,90.56521739130434,-34.896793365478516,4853.97998046875,4801.4091796875,4750.0966796875,4699.982421875,4651.01171875,4651.01171875,14410,4.170228004455566,,6
-127.06195,54.557236,-61.745663,-308.5279,86.95652173913044,-140.14023,65.31121,-55.68217,-330.72968,86.625,-40.62492752075195,4254.607421875,4197.712890625,4141.24169921875,4085.247314453125,4029.7744140625,4029.7744140625,16489,4.696993112564087,,7
-120.72785,70.51023,-12.981227,-326.73782,95.0,-130.1646,54.8135,15.255256,-279.67596,93.5909090909091,-33.015220642089844,3419.688720703125,3372.35546875,3326.048828125,3280.734375,3236.3828125,3236.3828125,18548,5.237918138504028,,8
-120.83528,61.435886,-27.273361,-291.63727,89.0,-121.46499,49.92062,-46.70649,-242.7811,83.96,-31.104536056518555,2529.5341796875,2487.7529296875,2446.894775390625,2406.930419921875,2367.833740234375,2367.833740234375,20647,5.774245977401733,,9
-125.0686,65.89127,-23.424652,-355.6871,90.04347826086956,-135.413,64.54307,-62.45102,-296.87335,90.30434782608695,-31.965831756591797,3607.715087890625,3563.66748046875,3520.00390625,3476.76708984375,3433.993896484375,3433.993896484375,22724,6.309031963348389,,10
-97.92265,47.80485,-7.563736,-235.7526,96.68181818181819,-134.62119,71.63705,-42.93103,-312.45734,90.82608695652173,-28.505084991455078,3199.8486328125,3161.692138671875,3124.306884765625,3087.6806640625,3051.80224609375,3051.80224609375,24813,6.864711046218872,,11
-108.56128,50.071686,3.0125656,-217.90517,98.80952380952381,-113.94825,75.84755,-13.668518,-345.07135,88.8695652173913,-20.041473388671875,2970.0888671875,2942.274169921875,2915.47900390625,2889.639892578125,2864.701171875,2864.701171875,26857,7.414842844009399,,12
-120.44798,65.18535,-31.289719,-251.89647,101.25,-128.9942,70.4663,0.4090786,-274.36316,103.25,-20.153017044067383,2747.516357421875,2720.120849609375,2693.2763671875,2666.975830078125,2641.2158203125,2641.2158203125,28922,7.974310874938965,,13
-117.293304,70.42596,-52.568245,-298.32443,111.77777777777777,-110.47327,50.231724,-21.357044,-219.12921,104.65,-10.601278305053711,1568.2677001953125,1554.351806640625,1541.3038330078125,1529.0474853515625,1517.5142822265625,1517.5142822265625,31015,8.539967060089111,,14
-91.045006,60.009212,1.4763336,-244.93431,109.6842105263158,-126.40203,61.97824,-31.001411,-269.23425,119.52941176470588,-11.270071029663086,1595.725830078125,1583.2047119140625,1571.1861572265625,1559.639892578125,1548.537109375,1548.537109375,33047,9.120090007781982,,15
-130.58524,86.914,-16.29699,-302.11267,113.44444444444444,-101.77064,59.416374,-7.220497,-225.64877,114.72222222222223,-4.023560047149658,1435.0340576171875,1430.70654296875,1426.7867431640625,1423.22900390625,1419.9932861328125,1419.9932861328125,35112,9.705112934112549,,16
-95.389275,72.63222,-15.698151,-260.3811,123.94117647058823,-94.98837,66.898674,-30.673935,-300.7561,111.27777777777777,-1.548165202140808,1611.8896484375,1608.9705810546875,1606.2841796875,1603.8077392578125,1601.520263671875,1601.520263671875,37115,10.300092935562134,,17
-69.51633,53.962967,-12.84182,-215.20097,140.86666666666667,-77.865105,46.764236,-10.017503,-164.89204,119.61111111111111,5.986473083496094,1057.681396484375,1059.8681640625,1061.72314453125,1063.26123046875,1064.498779296875,1064.498779296875,39268,10.939593076705933,,18
-95.02942,51.631626,-26.306812,-206.9394,134.73333333333332,-111.220924,89.340385,9.701916,-307.1224,111.36842105263158,-5.905517578125,2084.3388671875,2082.6162109375,2080.66357421875,2078.508544921875,2076.17822265625,2076.17822265625,41384,11.5502028465271,,19
-95.104164,69.64441,30.905693,-276.10065,123.94117647058823,-107.67864,93.028336,-19.421242,-401.82462,132.25,-0.30562615394592285,2457.0595703125,2456.345947265625,2455.6845703125,2455.06982421875,2454.498046875,2454.498046875,43500,12.174734830856323,,20
-70.367836,71.94975,58.710373,-212.90643,175.91666666666666,-115.05136,94.487595,6.515583,-303.73712,156.30769230769232,0.7786826491355896,2405.038330078125,2404.88330078125,2404.750732421875,2404.637939453125,2404.54150390625,2404.54150390625,45532,12.882431983947754,,21
-138.14066,105.55553,-28.05611,-359.70795,292.42857142857144,-72.607,77.536385,29.867401,-226.2301,150.0,9.842028617858887,2226.052001953125,2226.8828125,2227.076904296875,2226.691650390625,2225.782958984375,2225.782958984375,47632,14.006904125213623,,22
-91.13484,89.84589,-6.0511513,-317.07147,189.1818181818182,-110.90865,66.83105,-39.80554,-245.56313,166.83333333333334,3.047196865081787,1635.239501953125,1635.1456298828125,1635.0616455078125,1634.98681640625,1634.919921875,1634.919921875,49634,14.704206943511963,,23
