Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Baseline Loss 0,Baseline Loss 1,Baseline Loss 2,Baseline Loss 3,Baseline Loss 4,Baseline Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
-205.69412,86.838326,-95.33589,-353.83093,96.66666666666667,-149.6086,100.35343,15.478653,-500.7471,90.95652173913044,-110.97061920166016,9431.13671875,9266.8046875,9043.2041015625,8764.947265625,8503.916015625,8503.916015625,2092,0.5648531913757324,-149.6086,0
-181.62212,94.00198,-74.23311,-449.17505,89.34782608695652,-154.63382,117.69103,-5.728263,-463.28488,95.42857142857143,-97.19646453857422,9199.2890625,9066.3232421875,8963.2509765625,8871.349609375,8783.0703125,8783.0703125,4096,3.6995890140533447,,1
-157.04456,85.70485,-0.2500534,-352.28842,101.25,-153.7226,85.33299,-61.124695,-339.66928,91.13636363636364,-108.78267669677734,8384.81640625,8282.0146484375,8179.16357421875,8076.34326171875,7973.705078125,7973.705078125,6101,4.392498970031738,,2
-139.94942,91.7669,-8.023941,-487.6753,89.43478260869566,-151.46585,60.615387,-52.83565,-275.42538,97.0952380952381,-93.3399429321289,5578.70068359375,5487.2763671875,5396.90673828125,5307.62451171875,5219.45556640625,5219.45556640625,8140,4.94749903678894,,3
-128.69904,43.674572,-25.785294,-233.71924,85.33333333333333,-115.11758,68.21137,-20.860123,-386.6646,90.82608695652173,-62.47264862060547,3550.6796875,3491.798828125,3435.030517578125,3380.21337890625,3327.205810546875,3327.205810546875,10229,5.50725793838501,,4
-129.9449,75.47106,13.055016,-353.84656,97.0952380952381,-132.64145,54.32187,-58.2818,-270.75772,89.21739130434783,-75.75647735595703,3782.3935546875,3715.895751953125,3650.0986328125,3585.051025390625,3520.79248046875,3520.79248046875,12281,6.069555044174194,,5
-141.0656,51.54291,-63.916428,-269.8569,94.77272727272727,-121.08529,48.40386,-56.899635,-259.33942,89.78260869565217,-62.39338302612305,2841.76220703125,2787.556396484375,2734.643310546875,2682.97509765625,2632.506591796875,2632.506591796875,14346,6.6412928104400635,,6
-123.55057,53.67111,23.820839,-226.18805,88.1304347826087,-164.82527,71.33144,-56.418564,-325.1232,97.71428571428571,-80.79966735839844,5051.9482421875,4983.20703125,4914.22314453125,4845.1826171875,4776.2451171875,4776.2451171875,16398,7.205196142196655,,7
-132.50124,61.48833,19.303432,-257.65964,93.63636363636364,-133.15828,70.32714,-11.736805,-343.61963,96.61904761904762,-56.2223014831543,3812.54296875,3763.31396484375,3715.5791015625,3669.2626953125,3624.29443359375,3624.29443359375,18427,7.7725560665130615,,8
-113.801926,45.501957,-52.235897,-236.33417,89.47826086956522,-139.12997,53.26962,-67.426544,-283.70715,100.1,-56.18636703491211,2804.539794921875,2758.1640625,2712.772705078125,2668.3486328125,2624.8740234375,2624.8740234375,20429,8.336810111999512,,9
