Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
60.0,0.0,60.0,60.0,1930.0,0,,,,,,,,
,,,,,503,300.0,2034,,,,,,
,,,,,993,170.0,1962,,,,,,
,,,,,1491,180.0,2018,,,,,,
,,,,,1934,170.0,1786,,,,,,
,,,,,2324,230.0,1570,,,,,,
,,,,,2822,250.0,2002,,,,,,
,,,,,3224,140.0,1610,,,,,,
,,,,,3757,370.0,2146,,,,,,
,,,,,4179,220.0,1706,,,,,,
,,,,,4715,270.0,2170,,,,,,
,,,,,5212,250.0,2018,,,,,,
,,,,,5673,180.0,1850,,,,,,
,,,,,6404,450.0,2938,,,,,,
,,,,,6932,270.0,2122,,,,,,
,,,,,7334,160.0,1634,,,,,,
,,,,,7835,240.0,2018,,,,,,
,,,,,8370,260.0,2162,,,,,,
,,,,,8893,240.0,2114,,,,,,
,,,,,9332,280.0,1770,,,,,,
,,,,,9843,250.0,2050,,,,,,
60.0,0.0,60.0,60.0,1930.0,10000,,,,,,,,
,,,,,10190,160.0,1410,,,,,,
,,,,,10662,180.0,1906,,,,,,
,,,,,11134,200.0,1906,,,,,,
,,,,,11739,370.0,2442,,,,,,
,,,,,12165,150.0,1730,,,,,,
,,,,,12577,190.0,1674,,,,,,
,,,,,12983,180.0,1626,,,,,,
,,,,,13413,140.0,1746,,,,,,
,,,,,13857,190.0,1794,,,,,,
,,,,,14270,200.0,1682,,,,,,
,,,,,14745,270.0,1922,,,,,,
,,,,,15263,190.0,2090,,,,,,
,,,,,15765,250.0,2018,,,,,,
,,,,,16337,310.0,2306,,,,,,
,,,,,16752,240.0,1682,,,,,,
,,,,,17290,180.0,2178,,,,,,
,,,,,17738,250.0,1794,,,,,,
,,,,,18225,180.0,1954,,,,,,
,,,,,18641,130.0,1674,,,,,,
,,,,,19125,210.0,1954,,,,,,
,,,,,19623,300.0,2018,,,,,,
232.0,67.34983,280.0,70.0,2062.0,20000,,,3.157865285873413,-0.006390806287527084,0.3565124273300171,0.8921516537666321,1.0,0.0001
,,,,,20111,310.0,1970,,,,,,
,,,,,20618,290.0,2042,,,,,,
,,,,,21000,,,0.10974566638469696,0.3653784394264221,0.04046154022216797,2.037329912185669,0.9979375,0.0001
,,,,,21083,250.0,1874,,,,,,
,,,,,21497,140.0,1658,,,,,,
,,,,,22000,,,0.11515499651432037,0.29832813143730164,0.020397154614329338,1.8638437986373901,0.995875,0.0001
,,,,,22159,3420.0,2666,,,,,,
,,,,,22630,240.0,1890,,,,,,
,,,,,23000,,,8.172466278076172,0.7546244859695435,1.3425928354263306,10.975605010986328,0.9938125,0.0001
,,,,,23166,250.0,2146,,,,,,
,,,,,23511,200.0,1378,,,,,,
,,,,,24000,,,2.8910436630249023,0.8015286922454834,0.6625882983207703,4.986508846282959,0.99175,0.0001
,,,,,24147,370.0,2554,,,,,,
,,,,,24566,180.0,1706,,,,,,
,,,,,25000,,,6.408973217010498,1.3243939876556396,1.657240867614746,8.790704727172852,0.9896875,0.0001
,,,,,25061,230.0,1994,,,,,,
,,,,,25497,140.0,1770,,,,,,
,,,,,25927,120.0,1730,,,,,,
,,,,,26000,,,2.9765849113464355,1.350504755973816,1.3291276693344116,6.6514058113098145,0.987625,0.0001
,,,,,26477,360.0,2218,,,,,,
,,,,,26994,200.0,2090,,,,,,
,,,,,27000,,,5.303597450256348,1.951933741569519,2.1367015838623047,15.662678718566895,0.9855625,0.0001
,,,,,27505,160.0,2066,,,,,,
,,,,,28000,220.0,2002,,,,,,
,,,,,28000,,,2.7027149200439453,1.2691447734832764,1.4892067909240723,10.347661018371582,0.9835,0.0001
,,,,,28511,160.0,2058,,,,,,
,,,,,29000,,,0.6072402000427246,2.04557466506958,1.6535661220550537,16.552072525024414,0.9814375,0.0001
,,,,,29005,240.0,1986,,,,,,
,,,,,29487,210.0,1930,,,,,,
,,,,,29850,160.0,1466,,,,,,
250.0,80.87027,390.0,180.0,2898.0,30000,,,0.4228363633155823,2.395334243774414,1.9266893863677979,18.98529052734375,0.979375,0.0001
,,,,,30358,270.0,2058,,,,,,
,,,,,30829,180.0,1898,,,,,,
,,,,,31000,,,11.665691375732422,3.3893685340881348,4.239944934844971,59.1733283996582,0.9773125,0.0001
,,,,,31359,240.0,2138,,,,,,
,,,,,31790,160.0,1738,,,,,,
,,,,,32000,,,1.0506691932678223,2.305997610092163,1.816373348236084,31.279664993286133,0.97525,0.0001
,,,,,32383,360.0,2394,,,,,,
,,,,,32831,280.0,1818,,,,,,
,,,,,33000,,,1.0918903350830078,2.999333381652832,2.2332961559295654,48.13364791870117,0.9731875,0.0001
,,,,,33752,750.0,3706,,,,,,
,,,,,34000,,,0.3220003843307495,2.2059714794158936,1.9549260139465332,14.294405937194824,0.971125,0.0001
,,,,,34175,270.0,1714,,,,,,
,,,,,34619,310.0,1778,,,,,,
,,,,,35000,,,5.12428617477417,3.1201021671295166,3.2762250900268555,47.53273391723633,0.9690625,0.0001
,,,,,35154,320.0,2146,,,,,,
,,,,,35684,330.0,2130,,,,,,
,,,,,36000,,,6.113326072692871,3.1143932342529297,3.566628932952881,51.881202697753906,0.967,0.0001
,,,,,36283,320.0,2418,,,,,,
,,,,,36746,260.0,1874,,,,,,
,,,,,37000,,,1.8096662759780884,2.79964017868042,2.9265646934509277,35.37598419189453,0.9649375,0.0001
,,,,,37230,190.0,1962,,,,,,
,,,,,37854,700.0,2506,,,,,,
,,,,,38000,,,2.6032135486602783,4.037658214569092,4.03082799911499,39.5963134765625,0.962875,0.0001
,,,,,38265,300.0,1666,,,,,,
,,,,,38734,160.0,1890,,,,,,
,,,,,39000,,,6.730849266052246,3.6806883811950684,3.839568614959717,49.26206588745117,0.9608125,0.0001
,,,,,39185,170.0,1818,,,,,,
,,,,,39707,210.0,2090,,,,,,
312.0,36.823906,360.0,240.0,1964.4,40000,,,9.498340606689453,5.428415775299072,5.349167823791504,90.91426086425781,0.95875,9.999989583333334e-05
,,,,,40194,220.0,1978,,,,,,
,,,,,40546,120.0,1418,,,,,,
,,,,,40945,180.0,1602,,,,,,
,,,,,41000,,,11.942286491394043,5.711305618286133,6.6745710372924805,116.21003723144531,0.9566875,9.989572916666667e-05
,,,,,41418,240.0,1898,,,,,,
,,,,,41952,380.0,2162,,,,,,
,,,,,42000,,,4.437546730041504,5.181956768035889,4.595547676086426,102.13031768798828,0.9546250000000001,9.97915625e-05
,,,,,42377,270.0,1706,,,,,,
,,,,,42915,350.0,2162,,,,,,
,,,,,43000,,,3.3311495780944824,6.120471477508545,6.247713565826416,81.85466003417969,0.9525625,9.968739583333334e-05
,,,,,43302,160.0,1554,,,,,,
,,,,,43751,170.0,1818,,,,,,
,,,,,44000,,,1.0237233638763428,4.960957050323486,5.085775852203369,32.16499328613281,0.9505,9.958322916666667e-05
,,,,,44281,240.0,2130,,,,,,
,,,,,44787,300.0,2026,,,,,,
,,,,,45000,,,8.830957412719727,6.850198745727539,7.853308200836182,177.32875061035156,0.9484375,9.947906250000001e-05
,,,,,45327,270.0,2170,,,,,,
,,,,,45833,330.0,2050,,,,,,
,,,,,46000,,,5.833694934844971,6.433691024780273,6.112347602844238,102.67566680908203,0.946375,9.937489583333334e-05
,,,,,46343,250.0,2066,,,,,,
,,,,,46852,210.0,2034,,,,,,
,,,,,47000,,,7.154182434082031,7.862198829650879,8.137742042541504,80.06134033203125,0.9443125,9.927072916666668e-05
,,,,,47329,270.0,1922,,,,,,
,,,,,47830,300.0,2026,,,,,,
,,,,,48000,,,1.6635699272155762,5.695101261138916,5.768505096435547,80.58892822265625,0.94225,9.916656250000001e-05
,,,,,48328,230.0,2018,,,,,,
,,,,,48740,220.0,1650,,,,,,
,,,,,49000,,,7.568779945373535,8.25831413269043,8.804709434509277,209.3846893310547,0.9401875,9.906239583333335e-05
,,,,,49232,300.0,1978,,,,,,
,,,,,49682,150.0,1826,,,,,,
182.0,27.495455,200.0,140.0,2856.4,50000,,,5.651313781738281,7.597723960876465,7.510869026184082,103.76962280273438,0.938125,9.895822916666668e-05
,,,,,50101,240.0,1674,,,,,,
,,,,,50594,270.0,1994,,,,,,
,,,,,51000,,,3.0134634971618652,10.22550106048584,9.259880065917969,200.56918334960938,0.9360625,9.88540625e-05
,,,,,51085,220.0,1986,,,,,,
,,,,,51411,170.0,1306,,,,,,
,,,,,51914,280.0,2034,,,,,,
,,,,,52000,,,3.829740047454834,6.819632530212402,6.149771690368652,142.38180541992188,0.9339999999999999,9.874989583333334e-05
,,,,,52371,240.0,1850,,,,,,
,,,,,52852,260.0,1930,,,,,,
,,,,,53000,,,3.6475653648376465,11.926473617553711,11.32406997680664,184.5966796875,0.9319375,9.864572916666666e-05
,,,,,53239,170.0,1562,,,,,,
,,,,,53717,230.0,1914,,,,,,
,,,,,54000,,,2.25712251663208,10.292600631713867,9.685787200927734,161.6240692138672,0.929875,9.85415625e-05
,,,,,54172,260.0,1842,,,,,,
,,,,,54787,280.0,2474,,,,,,
,,,,,55000,,,7.650008201599121,10.562295913696289,10.966652870178223,92.06414794921875,0.9278125,9.843739583333333e-05
,,,,,55236,220.0,1802,,,,,,
,,,,,55735,280.0,2018,,,,,,
,,,,,56000,,,8.300323486328125,12.19194507598877,10.745004653930664,441.7691650390625,0.92575,9.833322916666668e-05
,,,,,56362,350.0,2522,,,,,,
,,,,,56831,230.0,1890,,,,,,
,,,,,57000,,,6.7211456298828125,10.30668830871582,11.353484153747559,333.5964660644531,0.9236875,9.82290625e-05
,,,,,57273,370.0,1786,,,,,,
,,,,,57740,200.0,1890,,,,,,
,,,,,58000,,,7.228682518005371,13.272340774536133,13.691466331481934,140.5371551513672,0.921625,9.812489583333335e-05
,,,,,58162,190.0,1690,,,,,,
,,,,,58576,220.0,1674,,,,,,
,,,,,59000,,,6.544916152954102,11.1455078125,10.735369682312012,176.74549865722656,0.9195625000000001,9.802072916666668e-05
,,,,,59068,220.0,1986,,,,,,
,,,,,59648,320.0,2338,,,,,,
780.0,396.8627,1530.0,480.0,2678.8,60000,,,2.150519847869873,12.601280212402344,12.000211715698242,141.76502990722656,0.9175,9.79165625e-05
,,,,,60178,250.0,2138,,,,,,
,,,,,60677,240.0,2018,,,,,,
,,,,,61000,,,6.464497089385986,14.244213104248047,14.853438377380371,279.78857421875,0.9154375,9.781239583333333e-05
,,,,,61311,480.0,2538,,,,,,
,,,,,61812,260.0,2026,,,,,,
,,,,,62000,,,7.739729881286621,11.716001510620117,11.12385368347168,113.91818237304688,0.913375,9.770822916666668e-05
,,,,,62480,330.0,2690,,,,,,
,,,,,62965,230.0,1946,,,,,,
,,,,,63000,,,13.931844711303711,15.911794662475586,17.775272369384766,464.6654357910156,0.9113125,9.76040625e-05
,,,,,63466,330.0,2026,,,,,,
,,,,,63967,310.0,2026,,,,,,
,,,,,64000,,,4.53566837310791,12.610368728637695,11.76241683959961,194.2807159423828,0.90925,9.749989583333335e-05
,,,,,64467,230.0,2002,,,,,,
,,,,,64847,170.0,1546,,,,,,
,,,,,65000,,,13.770547866821289,15.765670776367188,15.638935089111328,205.88841247558594,0.9071875,9.739572916666667e-05
,,,,,65281,160.0,1738,,,,,,
,,,,,65722,260.0,1786,,,,,,
,,,,,66000,,,1.4308453798294067,13.403909683227539,12.815797805786133,184.6172637939453,0.905125,9.72915625e-05
,,,,,66157,280.0,1746,,,,,,
,,,,,66511,200.0,1442,,,,,,
,,,,,66956,190.0,1794,,,,,,
,,,,,67000,,,26.502029418945312,13.521734237670898,14.538216590881348,187.1818084716797,0.9030625,9.718739583333334e-05
,,,,,67381,230.0,1698,,,,,,
,,,,,68000,,,6.347806453704834,18.099117279052734,18.181922912597656,226.5874481201172,0.901,9.708322916666667e-05
,,,,,68006,390.0,2522,,,,,,
,,,,,68427,220.0,1690,,,,,,
,,,,,68885,200.0,1858,,,,,,
,,,,,69000,,,7.780214309692383,13.579034805297852,12.831473350524902,256.34814453125,0.8989375,9.69790625e-05
,,,,,69315,270.0,1738,,,,,,
,,,,,69779,250.0,1882,,,,,,
197.0,29.342802,250.0,170.0,1366.8,70000,,,9.50027084350586,14.798089981079102,15.067232131958008,173.74588012695312,0.896875,9.687489583333333e-05
,,,,,70291,290.0,2050,,,,,,
,,,,,70731,230.0,1786,,,,,,
,,,,,71000,,,4.991873741149902,18.394075393676758,18.593891143798828,184.8704376220703,0.8948125,9.677072916666667e-05
,,,,,71223,270.0,1994,,,,,,
,,,,,71808,260.0,2362,,,,,,
,,,,,72000,,,7.871809959411621,19.779804229736328,18.103042602539062,519.9605712890625,0.89275,9.66665625e-05
,,,,,72330,280.0,2106,,,,,,
,,,,,72710,290.0,1522,,,,,,
,,,,,73000,,,6.739437103271484,23.918315887451172,23.62752914428711,213.87283325195312,0.8906875,9.656239583333334e-05
,,,,,73195,310.0,1946,,,,,,
,,,,,73651,240.0,1850,,,,,,
,,,,,74000,,,15.333307266235352,17.00479507446289,18.244976043701172,388.623046875,0.888625,9.645822916666667e-05
,,,,,74182,240.0,2130,,,,,,
,,,,,74548,240.0,1474,,,,,,
,,,,,75000,,,4.9409260749816895,18.157291412353516,17.599533081054688,242.6746826171875,0.8865625,9.635406250000001e-05
,,,,,75091,270.0,2186,,,,,,
,,,,,75640,270.0,2210,,,,,,
,,,,,76000,,,6.583825588226318,16.01982307434082,16.63433265686035,178.9571075439453,0.8845,9.624989583333334e-05
,,,,,76118,290.0,1914,,,,,,
,,,,,76582,270.0,1866,,,,,,
,,,,,77000,,,7.9276323318481445,22.441001892089844,21.70641326904297,352.1825256347656,0.8824375,9.614572916666667e-05
,,,,,77074,350.0,1978,,,,,,
,,,,,77609,350.0,2162,,,,,,
,,,,,78000,,,8.727361679077148,20.548179626464844,20.44101333618164,195.3691864013672,0.880375,9.60415625e-05
,,,,,78086,170.0,1914,,,,,,
,,,,,78653,330.0,2290,,,,,,
,,,,,79000,,,4.556303024291992,20.650558471679688,20.812641143798828,155.83804321289062,0.8783125,9.593739583333334e-05
,,,,,79186,310.0,2138,,,,,,
,,,,,79722,330.0,2154,,,,,,
826.0,324.93692,1200.0,430.0,2658.0,80000,,,5.363361358642578,15.945878982543945,16.067628860473633,128.5123291015625,0.87625,9.583322916666667e-05
,,,,,80536,1230.0,3282,,,,,,
,,,,,81000,,,83.45552062988281,26.993465423583984,27.64683723449707,2128.710205078125,0.8741875,9.57290625e-05
,,,,,81236,420.0,2802,,,,,,
,,,,,81628,210.0,1586,,,,,,
,,,,,82000,,,4.694846153259277,23.420642852783203,24.069684982299805,237.27017211914062,0.872125,9.562489583333334e-05
,,,,,82090,240.0,1858,,,,,,
,,,,,82575,240.0,1946,,,,,,
,,,,,82957,130.0,1554,,,,,,
,,,,,83000,,,12.962150573730469,21.260265350341797,21.417068481445312,261.69024658203125,0.8700625,9.552072916666667e-05
,,,,,83406,240.0,1802,,,,,,
,,,,,83890,270.0,1954,,,,,,
,,,,,84000,,,4.168283939361572,19.705121994018555,19.908889770507812,128.87501525878906,0.868,9.541656250000001e-05
